index	Ward	Labor Force	Employment	Unemployment	Rate	Month/year
1	1	"43,509"	"40,878"	"2,631"	6	Jan-02
2	1	"43,904"	"41,187"	"2,717"	6.2	Feb-02
3	1	"43,795"	"41,319"	"2,476"	5.7	Mar-02
4	1	"43,804"	"41,551"	"2,253"	5.1	Apr-02
5	1	"43,528"	"41,113"	"2,415"	5.5	May-02
6	1	"44,393"	"41,597"	"2,796"	6.3	Jun-02
7	1	"45,173"	"42,489 "	"2,684"	5.9	Jul-02
8	1	"44,225"	"41,660 "	"2,565"	5.8	Aug-02
9	1	"43,596"	"41,238 "	"2,358"	5.4	Sep-02
10	1	"43,308"	"40,979"	"2,330"	5.4	Oct-02
11	1	"43,276"	"40,824"	"2,452"	5.7	Nov-02
12	1	"43,312"	"40,792"	"2,521"	5.8	Dec-02
13	1	"43,229"	"40,679"	"2,550"	5.9	Jan-03
14	1	"43,841"	"41,058"	"2,783"	6.3	Feb-03
15	1	"43,857"	"41,378"	"2,480"	5.7	Mar-03
16	1	"43,952"	"41,391"	"2,562"	5.8	Apr-03
17	1	"43,632"	"41,292"	"2,340"	5.4	May-03
18	1	"44,952"	"41,871"	"3,082"	6.9	Jun-03
19	1	"45,325"	"42,517 "	"2,808"	6.2	Jul-03
20	1	"44,570"	"41,602 "	"2,968"	6.7	Aug-03
21	1	"43,608"	"41,338 "	"2,270"	5.2	Sep-03
22	1	"44,243"	"41,539"	"2,704"	6.1	Oct-03
23	1	"43,924"	"41,321"	"2,603"	5.9	Nov-03
24	1	"43,382"	"40,941"	"2,441"	5.6	Dec-03
25	1	"43,752"	"41,079"	"2,672"	6.1	Jan-04
26	1	"44,297"	"41,613"	"2,683"	6.1	Feb-04
27	1	"44,406"	"41,495"	"2,910"	6.6	Mar-04
28	1	"44,246"	"41,629"	"2,617"	5.9	Apr-04
29	1	"43,966"	"41,277"	"2,689"	6.1	May-04
30	1	"44,856"	"41,837"	"3,019"	6.7	Jun-04
31	1	"45,705"	"42,412 "	"3,293"	7.2	Jul-04
32	1	"45,120"	"42,320 "	"2,800"	6.2	Aug-04
33	1	"44,730"	"41,962 "	"2,768"	6.2	Sep-04
34	1	"45,057"	"42,175"	"2,883"	6.4	Oct-04
35	1	"45,092"	"42,150"	"2,941"	6.5	Nov-04
36	1	"45,280"	"42,263"	"3,017"	6.7	Dec-04
37	1	"45,105"	"42,423"	"2,682"	5.9	Jan-05
38	1	"45,798"	"42,856"	"2,942"	6.4	Feb-05
39	1	"45,689"	"42,983"	"2,706"	5.9	Mar-05
40	1	"45,678"	"43,254"	"2,424"	5.3	Apr-05
41	1	"45,525"	"42,808"	"2,717"	6	May-05
42	1	"46,207"	"43,495"	"2,712"	5.9	Jun-05
43	1	"47,049"	"44,533 "	"2,515"	5.3	Jul-05
44	1	"46,481"	"44,076 "	"2,406"	5.2	Aug-05
45	1	"45,770"	"43,467 "	"2,303"	5	Sep-05
46	1	"45,742"	"43,446"	"2,296"	5	Oct-05
47	1	"45,577"	"43,248"	"2,330"	5.1	Nov-05
48	1	"45,715"	"43,411"	"2,303"	5	Dec-05
49	1	"45,433"	"43,243"	"2,190"	4.8	Jan-06
50	1	"45,847"	"43,593"	"2,254"	4.9	Feb-06
51	1	"45,718"	"43,532"	"2,186"	4.8	Mar-06
52	1	"45,510"	"43,419"	"2,091"	4.6	Apr-06
53	1	"45,903"	"43,639"	"2,264"	4.9	May-06
54	1	"47,000"	"44,646"	"2,354"	5	Jun-06
55	1	"47,577"	"45,030 "	"2,548"	5.4	Jul-06
56	1	"46,784"	"44,408 "	"2,375"	5.1	Aug-06
57	1	"46,168"	"43,915 "	"2,253"	4.9	Sep-06
58	1	"46,712"	"44,636"	"2,076"	4.4	Oct-06
59	1	"46,591"	"44,448"	"2,143"	4.6	Nov-06
60	1	"46,767"	"44,513"	"2,254"	4.8	Dec-06
61	1	"46,147"	"43,824"	"2,323"	5	Jan-07
62	1	"46,507"	"44,341"	"2,166"	4.7	Feb-07
63	1	"46,564"	"44,518"	"2,046"	4.4	Mar-07
64	1	"46,538"	"44,595"	"1,943"	4.2	Apr-07
65	1	"46,447"	"44,388"	"2,058"	4.4	May-07
66	1	"46,840"	"44,558"	"2,282"	4.9	Jun-07
67	1	"47,709"	"45,360 "	"2,349"	4.9	Jul-07
68	1	"47,042"	"44,858 "	"2,184"	4.6	Aug-07
69	1	"46,907"	"44,648 "	"2,259"	4.8	Sep-07
70	1	"47,064"	"44,977"	"2,087"	4.4	Oct-07
71	1	"47,356"	"45,153"	"2,203"	4.7	Nov-07
72	1	"47,178"	"44,990"	"2,188"	4.6	Dec-07
73	1	"47,223"	"44,716"	"2,507"	5.3	Jan-08
74	1	"47,342"	"45,173"	"2,169"	4.6	Feb-08
75	1	"47,719"	"45,306"	"2,413"	5.1	Mar-08
76	1	"47,565"	"45,571"	"1,995"	4.2	Apr-08
77	1	"47,737"	"45,248"	"2,489"	5.2	May-08
78	1	"48,258"	"45,580"	"2,678"	5.5	Jun-08
79	1	"49,314"	"46,436 "	"2,879"	5.8	Jul-08
80	1	"48,849"	"46,018 "	"2,832"	5.8	Aug-08
81	1	"48,166"	"45,328 "	"2,839"	5.9	Sep-08
82	1	"47,826"	"44,928"	"2,897"	6.1	Oct-08
83	1	"47,716"	"44,586"	"3,130"	6.6	Nov-08
84	1	"47,535"	"44,262"	"3,274"	6.9	Dec-08
85	1	"47,650"	"44,120"	"3,530"	7.4	Jan-09
86	1	"47,876"	"44,199"	"3,677"	7.7	Feb-09
87	1	"47,314"	"43,838"	"3,476"	7.3	Mar-09
88	1	"47,026"	"43,686"	"3,340"	7.1	Apr-09
89	1	"47,477"	"43,596"	"3,881"	8.2	May-09
90	1	"48,325"	"44,078"	"4,248"	8.8	Jun-09
91	1	"49,058"	"45,073 "	"3,985"	8.1	Jul-09
92	1	"48,175"	"44,012 "	"4,164"	8.6	Aug-09
93	1	"47,701"	"43,454 "	"4,247"	8.9	Sep-09
94	1	"47,934"	"43,547"	"4,387"	9.2	Oct-09
95	1	"48,070"	"43,860"	"4,210"	8.8	Nov-09
96	1	"48,092"	"43,799"	"4,293"	8.9	
97	1	"52,559"	"48,992"	"3,567"	6.8	Jan-10
98	1	"52,745"	"49,271"	"3,474"	6.6	Feb-10
99	1	"52,987"	"49,621"	"3,366"	6.4	Mar-10
100	1	"53,435"	"50,347"	"3,088"	5.8	Apr-10
101	1	"53,739"	"50,551"	"3,188"	5.9	May-10
102	1	"54,575"	"51,109"	"3,466"	6.4	Jun-10
103	1	"55,127"	"51,656 "	"3,471"	6.3	Jul-10
104	1	"53,569"	"50,224 "	"3,345"	6.2	Aug-10
105	1	"53,378"	"50,045 "	"3,333"	6.2	Sep-10
106	1	"53,501"	"50,162"	"3,339"	6.2	Oct-10
107	1	"53,573"	"50,209"	"3,364"	6.3	Nov-10
108	1	"53,515"	"50,208"	"3,307"	6.2	Dec-10
109	1	"53,813"	"50,243"	"3,570"	6.6	Jan-11
110	1	"54,252"	"50,633"	"3,619"	6.7	Feb-11
111	1	"53,984"	"50,391"	"3,593"	6.7	Mar-11
112	1	"53,936"	"50,475"	"3,461"	6.4	Apr-11
113	1	"53,579"	"49,950"	"3,629"	6.8	May-11
114	1	"54,455"	"50,494"	"3,961"	7.3	Jun-11
115	1	"55,151"	"51,199 "	"3,952"	7.2	Jul-11
116	1	"54,208"	"50,407 "	"3,801"	7	Aug-11
117	1	"54,024"	"50,282 "	"3,742"	6.9	Sep-11
118	1	"53,985"	"50,327"	"3,658"	6.8	
119	1	"54,078"	"50,481"	"3,597"	6.7	Nov-11
120	1	"54,205"	"50,700"	"3,505"	6.5	Dec-11
121	1	"54,499"	"50,831"	"3,668"	6.7	Jan-12
122	1	"55,136"	"51,496"	"3,640"	6.6	Feb-12
123	1	"55,285"	"51,835"	"3,450"	6.2	Mar-12
124	1	"55,441"	"52,269"	"3,172"	5.7	Apr-12
125	1	"55,829"	"52,625"	"3,204"	5.7	May-12
126	1	"57,033"	"53,557"	"3,476"	6.1	Jun-12
127	1	"57,703"	"54,241 "	"3,462"	6	Jul-12
128	1	"57,032"	"53,616 "	"3,416"	6	Aug-12
129	1	"57,111"	"53,727 "	"3,384"	5.9	Sep-12
130	1	"57,797"	"54,442"	"3,355"	5.8	Oct-12
131	1	"57,961"	"54,631"	"3,330"	5.7	Nov-12
132	1	"57,928"	"54,616"	"3,312"	5.7	Dec-12
133	1	"58,529"	"54,392"	"4,137"	7.1	Jan-13
134	1	"58,734"	"54,762"	"3,972"	6.8	Feb-13
135	1	"58,449"	"54,665"	"3,784"	6.5	Mar-13
136	1	"58,471"	"54,935"	"3,536"	6	Apr-13
137	1	"58,208"	"54,654"	"3,554"	6.1	May-13
138	1	"59,046"	"54,987"	"4,059"	6.9	Jun-13
139	1	"59,370"	"55,463"	"3,907"	6.6	Jul-13
140	1	"58,111"	"54,405"	"3,706"	6.4	Aug-13
141	1	"57,893"	"54,217"	"3,676"	6.3	Sep-13
142	1	"58,073"	"54,406"	"3,667"	6.3	Oct-13
143	1	"58,252"	"54,879"	"3,373"	5.8	Nov-13
144	1	"58,146"	"54,934"	"3,212"	5.5	Dec-13
145	1	"58,064"	"54,502"	"3,562"	6.1	Jan-14
146	1	"58,467"	"54,813"	"3,654"	6.2	Feb-14
147	1	"58,234"	"54,812"	"3,422"	5.9	Mar-14
148	1	"58,295"	"55,148"	"3,147"	5.4	Apr-14
149	1	"58,372"	"55,219"	"3,153"	5.4	May-14
150	1	"59,547"	"55,960"	"3,587"	6	Jun-14
151	1	"60,083"	"56,534"	"3,549"	5.9	Jul-14
152	1	"59,364"	"55,737"	"3,627"	6.1	Aug-14
153	1	"59,612"	"56,077"	"3,535"	5.9	Sep-14
154	1	"60,068"	"56,668"	"3,400"	5.7	Oct-14
155	1	"59,984"	"56,697"	"3,287"	5.5	Nov-14
156	1	"59,784"	"56,613"	"3,171"	5.3	Dec-14
157	1	"60,208"	"56,662"	"3,546"	5.9	Jan-15
158	1	"60,412"	"56,993"	"3,419"	5.7	Feb-15
159	1	"60,105"	"56,980"	"3,125"	5.2	Mar-15
160	1	"60,130"	"57,279"	"2,851"	4.7	Apr-15
161	1	"59,994"	"57,121"	"2,873"	4.8	May-15
162	1	"60,966"	"57,796"	"3,170"	5.2	Jun-15
163	1	"61,639"	"58,611"	"3,028"	4.9	Jul-15
164	1	"60,770"	"57,749"	"3,021"	5	Aug-15
165	1	"60,562"	"57,631"	"2,931"	4.8	Sep-15
166	1	"61,135"	"58,250"	"2,885"	4.7	Oct-15
167	1	"61,113"	"58,325"	"2,788"	4.6	Nov-15
168	1	"61,108"	"58,440"	"2,668"	4.4	Dec-15
169	1	"61,194"	"58,263"	"2,931"	4.8	Jan-16
170	1	"61,728"	"58,735"	"2,993"	4.8	Feb-16
