"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Dec-15,Dec-14,AMOUNT,PERCENT,Dec-15,Dec-14,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"7,819,008","-805,005","8,624,012",-1071.30%,"35,631,914","124,626,215","-88,994,301",-71.40%
Real Property Tax (gross),"5,689,857","-2,476,242","8,166,099",-329.80%,"28,410,451","118,176,772","-89,766,321",-76.00%
Transfer to Pilot,0,"773,396","-773,396",-100.00%,"998,538","773,396","225,142",29.10%
Transfer to TIF,"2,083","9,438","-7,355",-77.90%,"463,400","9,438","453,962",4809.70%
Real Property Tax (net),"5,687,774","-3,259,077","8,946,851",-274.50%,"26,948,512","117,393,937","-90,445,425",-77.00%
Personal Property,"986,073","706,264","279,808",39.60%,"2,120,080","1,920,098","199,983",10.40%
Public Spaces,"1,143,078","964,973","178,105",18.50%,"5,101,383","4,529,346","572,038",12.60%
TOTAL PROPERTY TAXES (net),"7,816,925","-1,587,839","9,404,764",-592.30%,"34,169,976","123,843,381","-89,673,405",-72.40%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"107,935,261","98,962,127","8,973,133",9.10%,"354,141,072","338,393,255","15,747,817",4.70%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"101,402,614","92,892,182","8,510,432",9.20%,"333,214,116","320,329,043","12,885,073",4.00%
Convention Center Transfer,"443,393","9,531,857","-9,088,465",-95.30%,"21,298,974","30,262,359","-8,963,386",-29.60%
Transfer to Ballpark Fund,"1,623,346","745,022","878,323",117.90%,"4,063,620","2,316,173","1,747,448",75.40%
Transfer to Healthy Schools,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),"50,146","47,624","2,523",5.30%,"157,060","221,012","-63,952",-28.90%
Transfer to TIF,"2,998,708","7,342,882","-4,344,174",-59.20%,"8,127,892","7,342,882","785,010",10.70%
Transfer to WMATA,"5,336,492","5,405,292","-68,800",-1.30%,"19,713,646","12,366,006","7,347,640",59.40%
General Sales And Use Tax (net),"90,950,529","69,819,504","21,131,025",30.30%,"279,852,923","267,820,611","12,032,313",4.50%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"90,950,529","69,819,504","21,131,025",30.30%,"279,852,923","267,820,611","12,032,313",4.50%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"587,761","341,818","245,943",72.00%,"1,717,457","1,457,252","260,205",17.90%
Cigarette,"2,172,097","1,702,323","469,774",27.60%,"7,912,945","5,001,844","2,911,101",58.20%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,0,0,0.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Excise Tax Gross Coll,"3,772,789","4,025,662","-252,873",-6.30%,"11,296,554","11,766,058","-469,504",-4.00%
TOTAL SELECTIVE SALES TAXES (net),"6,532,647","6,069,803","462,844",7.60%,"20,926,956","18,225,154","2,701,802",14.80%
TOTAL SALES TAXES (net),"97,483,176","75,889,307","21,593,869",28.50%,"300,779,880","286,045,765","14,734,115",5.20%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"251,898,489","224,282,383","27,616,105",12.30%,"523,885,463","492,307,593","31,577,870",6.40%
Individual Income,"159,465,960","139,907,603","19,558,357",14.00%,"413,199,460","393,118,082","20,081,378",5.10%
Corporate Franchise,"71,101,223","51,749,104","19,352,119",37.40%,"81,410,221","61,654,652","19,755,570",32.00%
U.B. Franchise,"21,331,306","32,625,676","-11,294,370",-34.60%,"29,275,782","37,534,859","-8,259,078",-22.00%
TOTAL INCOME AND FRANCHISE TAXES (net),"251,898,489","224,282,383","27,616,105",12.30%,"523,885,463","492,307,593","31,577,870",6.40%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"19,116,914","19,553,914","-437,000",-2.20%,"51,583,753","54,818,414","-3,234,661",-5.90%
Hospital Bed Tax (gross),0,200,-200,-100.00%,0,"159,715","-159,715",-100.00%
Transfer to Hospital Fund,0,0,0,0.00%,0,0,0,0.00%
Hospital Bed Tax (net),0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (gross),0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (net),0,0,0,0.00%,0,0,0,0.00%
