"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,May-16,May-15,AMOUNT,PERCENT,May-16,May-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"7,703,185","1,306,866","6,396,319",489.40%,"1,171,355,622","1,177,122,192","-5,766,570",-0.50%
Real Property Tax,"7,606,417","1,284,119","6,322,298",492.30%,"1,168,533,002","1,175,116,826","-6,583,824",-0.60%
Personal Property,"96,768","22,747","74,020",325.40%,"2,822,620","2,005,366","817,254",40.80%
Public Spaces,0,0,0,0.00%,0,0,0,0.00%
TOTAL PROPERTY TAXES (net),"7,703,185","1,306,866","6,396,319",489.40%,"1,171,355,622","1,177,122,192","-5,766,570",-0.50%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"97,031,684","90,127,956","6,903,728",7.70%,"741,241,541","693,389,692","47,851,848",6.90%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax,"94,153,576","86,476,332","7,677,244",8.90%,"717,992,493","670,113,876","47,878,617",7.10%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"94,153,576","86,476,332","7,677,244",8.90%,"717,992,493","670,113,876","47,878,617",7.10%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"443,426","574,055","-130,629",-22.80%,"4,265,690","4,099,282","166,408",4.10%
Cigarette,"2,434,682","3,077,568","-642,886",-20.90%,"18,983,358","19,178,178","-194,820",-1.00%
Motor Vehicle Fuel,0,0,0,0.00%,0,"-1,644","1,644",-100.00%
TOTAL SELECTIVE SALES TAXES (net),"2,878,108","3,651,623","-773,515",-21.20%,"23,249,048","23,275,816","-26,769",-0.10%
TOTAL SALES TAXES (net),"97,031,684","90,127,956","6,903,728",7.70%,"741,241,541","693,389,692","47,851,848",6.90%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"151,891,914","135,509,469","16,382,445",12.10%,"1,569,695,492","1,532,791,396","36,904,097",2.40%
Individual Income,"139,038,679","118,919,018","20,119,660",16.90%,"1,236,510,166","1,234,131,031","2,379,135",0.20%
Corporate Franchise,"6,582,702","12,141,449","-5,558,747",-45.80%,"226,075,392","196,093,016","29,982,376",15.30%
U.B. Franchise,"6,270,533","4,449,001","1,821,532",40.90%,"107,109,934","102,567,348","4,542,585",4.40%
TOTAL INCOME AND FRANCHISE TAXES (net),"151,891,914","135,509,469","16,382,445",12.10%,"1,569,695,492","1,532,791,396","36,904,097",2.40%
GROSS RECEIPTS TAXES,,,,,,,,
