"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Oct-15,Oct-14,AMOUNT,PERCENT,Oct-15,Oct-14,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"21,172,110","119,092,480","-97,920,369",-82.20%,"21,172,110","119,092,480","-97,920,369",-82.20%
Real Property Tax (gross),"18,188,058","116,001,516","-97,813,458",-84.30%,"18,188,058","116,001,516","-97,813,458",-84.30%
Transfer to Pilot,"998,538",0,"998,538",0.00%,"998,538",0,"998,538",0.00%
Transfer to TIF,"459,234",0,"459,234",0.00%,"459,234",0,"459,234",0.00%
Real Property Tax (net),"16,730,286","116,001,516","-99,271,230",-85.60%,"16,730,286","116,001,516","-99,271,230",-85.60%
Personal Property,"540,252","880,763","-340,510",-38.70%,"540,252","880,763","-340,510",-38.70%
Public Spaces,"2,443,800","2,210,201","233,599",10.60%,"2,443,800","2,210,201","233,599",10.60%
TOTAL PROPERTY TAXES (net),"19,714,338","119,092,480","-99,378,142",-83.40%,"19,714,338","119,092,480","-99,378,142",-83.40%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"129,798,540","126,601,573","3,196,967",2.50%,"129,798,540","126,601,573","3,196,967",2.50%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"121,213,770","120,763,831","449,940",0.40%,"121,213,770","120,763,831","449,940",0.40%
Convention Center Transfer,"9,766,523","10,625,523","-859,000",-8.10%,"9,766,523","10,625,523","-859,000",-8.10%
Transfer to Ballpark Fund,"2,440,275",0,"2,440,275",0.00%,"2,440,275",0,"2,440,275",0.00%
Transfer to Healthy Schools,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),"53,174","126,770","-73,596",-58.10%,"53,174","126,770","-73,596",-58.10%
Transfer to TIF,"2,374,714",0,"2,374,714",0.00%,"2,374,714",0,"2,374,714",0.00%
Transfer to WMATA,0,0,0,0.00%,0,0,0,0.00%
General Sales And Use Tax (net),"106,579,084","110,011,538","-3,432,454",-3.10%,"106,579,084","110,011,538","-3,432,454",-3.10%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"106,579,084","110,011,538","-3,432,454",-3.10%,"106,579,084","110,011,538","-3,432,454",-3.10%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"626,884","543,246","83,638",15.40%,"626,884","543,246","83,638",15.40%
