"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Jun-16,Jun-15,AMOUNT,PERCENT,Jun-16,Jun-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"3,851,150","8,417,677","-4,566,527",-54.20%,"1,206,933,632","1,215,055,755","-8,122,123",-0.70%
Real Property Tax (gross),"-271,992","4,449,592","-4,721,584",-106.10%,"1,187,888,803","1,197,719,122","-9,830,320",-0.80%
Transfer to Pilot,"579,356",0,"579,356",0.00%,"9,844,437","10,362,967","-518,530",-5.00%
Transfer to TIF,"-329,864","539,150","-869,014",-161.20%,"10,032,846","8,328,887","1,703,960",20.50%
Real Property Tax (net),"-521,484","3,910,442","-4,431,926",-113.30%,"1,168,011,519","1,179,027,268","-11,015,749",-0.90%
Personal Property,"247,612","444,564","-196,952",-44.30%,"3,070,232","2,449,930","620,302",25.30%
Public Spaces,"3,875,530","3,523,521","352,009",10.00%,"15,974,598","14,886,703","1,087,895",7.30%
TOTAL PROPERTY TAXES (net),"3,601,658","7,878,527","-4,276,869",-54.30%,"1,187,056,349","1,196,363,901","-9,307,553",-0.80%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"127,265,596","134,971,784","-7,706,188",-5.70%,"1,050,284,981","1,008,560,654","41,724,328",4.10%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"118,126,641","111,351,077","6,775,564",6.10%,"987,925,620","930,920,945","57,004,675",6.10%
Convention Center Transfer,"13,093,714","11,578,303","1,515,411",13.10%,"79,234,076","85,316,077","-6,082,000",-7.10%
Transfer to Ballpark Fund,"1,832,753","1,260,406","572,347",45.40%,"8,428,433","7,968,897","459,536",5.80%
Transfer to Healthy DC Fund,0,0,0,0.00%,0,0,0,0.00%
Transfer to Healthy Schools,0,0,0,0.00%,0,"4,266,000","-4,266,000",-100.00%
