"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Jan-17,Jan-16,AMOUNT,PERCENT,Jan-17,Jan-16,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"1,168,021","925,670","242,351",26.20%,"36,226,351","36,660,178","-433,827",-1.20%
Real Property Tax (gross),"-1,922,405","-937,898","-984,507",105.00%,"28,372,933","27,563,654","809,278",2.90%
Transfer to Pilot,0,0,0,0.00%,"1,236,464","998,538","237,926",23.80%
Transfer to TIF,"3,500","2,083","1,417",68.00%,"1,927,096","465,483","1,461,613",314.00%
Real Property Tax (net),"-1,925,905","-939,981","-985,924",104.90%,"25,209,372","26,099,633","-890,260",-3.40%
Personal Property,"653,658",-207,"653,865",-315861.40%,"2,415,461","2,119,873","295,588",13.90%
Public Spaces,"2,436,769","1,863,775","572,994",30.70%,"5,437,958","6,976,651","-1,538,694",-22.10%
TOTAL PROPERTY TAXES (net),"1,164,521","923,587","240,934",26.10%,"33,062,791","35,196,157","-2,133,366",-6.10%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"136,719,613","115,899,489","20,820,123",18.00%,"516,851,419","470,132,885","46,718,534",9.90%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"129,476,679","109,257,934","20,218,745",18.50%,"489,122,296","442,564,374","46,557,922",10.50%
Convention Center Transfer,"10,262,429","5,422,468","4,839,961",89.30%,"48,077,892","26,721,442","21,356,450",79.90%
Transfer to Ballpark Fund,"2,174,432","480,736","1,693,697",352.30%,"6,223,098","4,544,356","1,678,742",36.90%
Transfer to Healthy DC Fund,0,"-92,323","92,323",-100.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),"48,227","51,565","-3,338",-6.50%,"194,958","208,626","-13,668",-6.60%
Transfer to TIF,"2,777,417","1,011,900","1,765,517",174.50%,"10,296,964","9,139,792","1,157,173",12.70%
Transfer to WMATA,"5,962,373","5,609,942","352,431",6.30%,"25,551,243","25,323,588","227,655",0.90%
General Sales And Use Tax (net),"107,081,800","96,773,647","10,308,153",10.70%,"397,608,141","376,626,570","20,981,571",5.60%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"107,081,800","96,773,647","10,308,153",10.70%,"397,608,141","376,626,570","20,981,571",5.60%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"662,410","649,411","12,998",2.00%,"2,444,839","2,366,868","77,971",3.30%
Cigarette,"2,835,947","2,372,563","463,384",19.50%,"10,123,591","10,285,508","-161,917",-1.60%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,0,0,0.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Excise Tax Gross Coll,"3,744,577","3,619,581","124,996",3.50%,"15,160,694","14,916,135","244,558",1.60%
TOTAL SELECTIVE SALES TAXES (net),"7,242,934","6,641,555","601,378",9.10%,"27,729,123","27,568,512","160,612",0.60%
TOTAL SALES TAXES (net),"114,324,734","103,415,202","10,909,532",10.50%,"425,337,264","404,195,082","21,142,182",5.20%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"298,274,080","281,630,677","16,643,404",5.90%,"838,167,395","805,414,191","32,753,204",4.10%
Individual Income,"267,518,852","265,699,440","1,819,412",0.70%,"678,864,416","678,796,950","67,466",0.00%
Corporate Franchise,"26,825,854","9,003,129","17,822,725",198.00%,"122,438,247","90,413,350","32,024,897",35.40%
U.B. Franchise,"3,929,375","6,928,109","-2,998,734",-43.30%,"36,864,732","36,203,890","660,841",1.80%
TOTAL INCOME AND FRANCHISE TAXES (net),"298,274,080","281,630,677","16,643,404",5.90%,"838,167,395","805,414,191","32,753,204",4.10%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"21,698,210","15,647,867","6,050,343",38.70%,"72,935,295","67,231,620","5,703,675",8.50%
Hospital Bed Tax,0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"-3,748,690","-5,025,503","1,276,813",-25.40%,"2,721,311","1,496,329","1,224,982",81.90%
Transfer to Nursing facility Quality of Care Fund,"-3,748,690","-5,025,503","1,276,813",-25.40%,"2,721,311","1,496,329","1,224,982",81.90%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"11,695,398","10,410,668","1,284,730",12.30%,"42,834,340","39,101,559","3,732,781",9.50%
Transfer to Ballpark Fund,"618,966",0,"618,966",0.00%,"2,595,871","1,935,801","660,071",34.10%
Public Utilities (net),"11,076,432","10,410,668","665,764",6.40%,"40,238,469","37,165,759","3,072,710",8.30%
Ballpark Fee - Gross Receipts (gross),"856,666","135,211","721,455",533.60%,"2,577,231","1,832,846","744,386",40.60%
Transfer to Ballpark Fund,"856,666","135,211","721,455",533.60%,"2,577,231","1,832,846","744,386",40.60%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"1,915,872","1,520,382","395,490",26.00%,"2,102,612","1,636,072","466,540",28.50%
Transfer to Healthy DC Fund,"37,500",0,"37,500",0.00%,"112,713","14,375","98,338",684.10%
Insurance Premiums (net),"1,878,372","1,520,382","357,990",23.50%,"1,989,899","1,621,697","368,202",22.70%
Toll Telecommunications  (gross),"4,451,126","1,967,418","2,483,708",126.20%,"16,015,187","16,525,123","-509,936",-3.10%
Transfer to Ballpark Fund,"188,703",0,"188,703",0.00%,"779,638","877,349","-97,711",-11.10%
Toll Telecommunications  (net),"4,262,423","1,967,418","2,295,005",116.70%,"15,235,549","15,647,774","-412,225",-2.60%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"37,424,662","16,865,649","20,559,013",121.90%,"161,497,072","146,000,211","15,496,861",10.60%
Estate,"1,808,537","1,766,645","41,892",2.40%,"14,581,648","15,417,035","-835,386",-5.40%
Deed Recordation  (gross),"21,164,722","8,446,141","12,718,581",150.60%,"75,471,853","70,624,346","4,847,507",6.90%
Transfer to HPTF,"3,642,963","7,125,488","-3,482,525",-48.90%,"11,147,096","13,173,387","-2,026,291",-15.40%
Deed Recordation  (net),"17,521,759","1,320,653","16,201,106",1226.70%,"64,324,756","57,450,959","6,873,798",12.00%
Deed Transfer  (gross),"14,064,929","6,440,344","7,624,585",118.40%,"55,231,779","57,441,433","-2,209,654",-3.80%
Transfer to HPTF,"2,224,643","5,860,993","-3,636,351",-62.00%,"8,754,808","10,121,477","-1,366,670",-13.50%
Deed Transfer  (net),"11,840,287","579,351","11,260,936",1943.70%,"46,476,971","47,319,955","-842,984",-1.80%
Economic Interest (gross),"386,474","212,518","173,956",81.90%,"16,211,792","2,517,398","13,694,394",544.00%
Coop Recordation (net),"386,474","212,518","173,956",81.90%,"1,725,220","1,809,112","-83,893",-4.60%
Economic Interest (net),0,0,0,0.00%,"14,442,347","708,285","13,734,062",1939.10%
TOTAL OTHER TAXES (net),"31,557,056","3,879,167","27,677,889",713.50%,"141,550,943","122,705,346","18,845,596",15.40%
TOTAL TAX COLLECTIONS (gross),"495,284,587","430,969,352","64,315,235",14.90%,"1,625,677,532","1,525,439,085","100,238,447",6.60%
TOTAL TAX COLLECTIONS (net),"462,537,618","403,747,101","58,790,518",14.60%,"1,495,582,310","1,421,946,006","73,636,304",5.20%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"3,092,793","4,308,969","-1,216,177",-28.20%,"13,441,484","16,292,104","-2,850,620",-17.50%
Nonbusiness Licenses & Permits,"3,218,360","2,437,682","780,678",32.00%,"12,275,727","10,152,156","2,123,571",20.90%
TOTAL LICENSES AND PERMITS,"6,311,153","6,746,651","-435,498",-6.50%,"25,717,211","26,444,260","-727,049",-2.70%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"8,410,371","5,289,863","3,120,508",59.00%,"22,923,873","20,305,344","2,618,529",12.90%
Rentals,"763,866","644,932","118,935",18.40%,"4,223,520","3,734,893","488,627",13.10%
Tuitions,0,0,0,0.00%,0,0,0,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"9,174,237","5,934,795","3,239,442",54.60%,"27,147,394","24,040,237","3,107,156",12.90%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,0,"14,703","-14,703",-100.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,0,"14,703","-14,703",-100.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"6,561,119","6,253,639","307,481",4.90%,"30,296,885","30,544,050","-247,165",-0.80%
Other Fines & Forfeitures,"626,377","523,687","102,690",19.60%,"2,828,623","2,996,123","-167,500",-5.60%
Traffic Fines,"3,892,857","3,401,842","491,015",14.40%,"19,929,473","22,102,617","-2,173,144",-9.80%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),0,0,0,0.00%,"3,989,260","3,911,040","78,221",2.00%
Interest Income,"1,214,628","108,014","1,106,614",1024.50%,"1,062,002","855,324","206,678",24.20%
Unclaimed Property,"235,151","823,018","-587,867",-71.40%,"31,324,737","27,752,098","3,572,639",12.90%
Other Revenue,"126,426","1,093,797","-967,371",-88.40%,"17,434,818","3,610,603","13,824,215",382.90%
TOTAL MISCELLANEOUS REVENUE,"1,576,205","2,024,829","-448,624",-22.20%,"53,810,818","36,129,065","17,681,753",48.90%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,-100.00%,"1,090,780","1,434,076","-343,296",-23.90%
Legalized Gambling,"3,000,000","7,000,000","-4,000,000",-57.10%,"16,800,000","20,430,000","-3,630,000",-17.80%
Special Purpose O-Type Revenue,"46,585,339","20,758,178","25,827,161",124.40%,"189,482,497","143,298,980","46,183,516",32.20%
TOTAL TRANSFER FROM OTHER FUNDS,"49,585,339","27,758,178","21,827,161",78.60%,"207,373,277","165,163,056","42,210,221",25.60%
TOTAL NON-TAX REVENUES,"77,727,288","52,643,621","25,083,667",47.60%,"367,103,679","307,434,110","59,669,569",19.40%
TOTAL GENERAL FUND (GROSS),"573,011,875","483,612,973","89,398,902",18.50%,"1,992,781,211","1,832,873,195","159,908,016",8.70%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"5,962,373","5,609,942","352,431",6.30%,"25,551,243","25,323,588","227,655",0.90%
Plastic Bag fee,"179,428","179,597",-169,-0.10%,"602,432","569,308","33,125",5.80%
TOTAL,"6,141,801","5,789,539","352,262",6.10%,"26,153,675","25,892,896","260,780",1.00%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,0,"229,133","-229,133",-100.00%,"22,192","633,320","-611,128",-96.50%
Real Property Tax Refunds,"6,282,247","3,825,461","2,456,786",64.20%,"12,686,519","12,887,473","-200,954",-1.60%
Sales & Use Tax Refunds,"235,705","14,197","249,902",1760.20%,"872,197","409,410","462,787",113.00%
TOTAL REFUNDS,"6,517,952","4,040,397","2,477,556",61.30%,"13,580,908","13,930,203","-349,295",-2.50%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"6,145,688","2,916,136","3,229,551",110.70%,"60,960,369","12,258,934","48,701,435",397.30%
Payments,"22,676,919","9,017,393","13,659,527",151.50%,"68,987,790","96,619,045","-27,631,255",-28.60%
Refunds,"1,988,368","2,930,400","-942,033",-32.10%,"7,406,180","18,301,437","-10,895,257",-59.50%
TOTAL CORPORATION FRANCHISE TAXES,"26,834,240","9,003,129","17,831,111",198.10%,"122,541,979","90,576,542","31,965,437",35.30%
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"96,687,587","88,024,700","8,662,887",9.80%,"132,150,664","135,490,107","-3,339,442",-2.50%
Fiducary,"920,230","1,050,265","-130,034",-12.40%,"1,554,205","1,797,525","-243,320",-13.50%
Payments,"5,904,917","9,998,484","-4,093,567",-40.90%,"29,898,085","34,620,647","-4,722,562",-13.60%
Refunds,"8,505,639","7,033,568","1,472,071",20.90%,"50,830,232","39,196,578","11,633,654",29.70%
Withholding,"172,756,467","173,671,150","-914,683",-0.50%,"566,891,220","546,169,814","20,721,406",3.80%
TOTAL INDIVIDUAL INCOME TAXES,"267,763,562","265,711,030","2,052,532",0.80%,"679,663,943","678,881,515","782,428",0.10%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"2,900,727","2,850,206","50,522",1.80%,"28,473,776","10,875,538","17,598,239",161.80%
Payments,"1,831,548","4,810,734","-2,979,187",-61.90%,"12,074,301","30,125,522","-18,051,221",-59.90%
Refunds,"802,900","732,831","70,069",9.60%,"3,683,346","4,797,169","-1,113,823",-23.20%
TOTAL UNINCORPORATED FRANCHISE TAXES,"3,929,375","6,928,109","-2,998,734",-43.30%,"36,864,732","36,203,890","660,841",1.80%
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"3,839,230","617,014","3,222,216",522.20%,"12,177,672","9,193,521","2,984,151",32.50%
Healthy DC Fund,"37,500",0,"37,500",0.00%,"112,713","14,375","98,338",684.10%
Housing Production Trust Fund,"5,867,606","12,986,481","-7,118,876",-54.80%,"19,901,904","23,294,865","-3,392,961",-14.60%
