"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Jul-16,Jul-15,AMOUNT,PERCENT,Jul-16,Jul-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"47,122,616","49,541,957","-2,419,341",-4.90%,"1,254,056,248","1,264,597,713","-10,541,464",-0.80%
Real Property Tax (gross),"16,076,170","16,780,883","-704,713",-4.20%,"1,203,964,972","1,214,500,005","-10,535,033",-0.90%
Transfer to Pilot,"-259,457",0,"-259,457",0.00%,"9,584,980","10,362,967","-777,987",-7.50%
Transfer to TIF,"4,196",0,"4,196",0.00%,"10,037,042","8,328,887","1,708,156",20.50%
Real Property Tax (net),"16,331,431","16,780,883","-449,452",-2.70%,"1,184,342,950","1,195,808,151","-11,465,202",-1.00%
Personal Property,"28,035,992","30,706,718","-2,670,726",-8.70%,"31,106,223","33,156,648","-2,050,425",-6.20%
Public Spaces,"3,010,454","2,054,356","956,098",46.50%,"18,985,053","16,941,059","2,043,994",12.10%
TOTAL PROPERTY TAXES (net),"47,377,877","49,541,957","-2,164,080",-4.40%,"1,234,434,226","1,245,905,858","-11,471,633",-0.90%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"149,221,342","124,555,127","24,666,215",19.80%,"1,199,506,323","1,133,115,780","66,390,543",5.90%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"124,227,536","118,072,359","6,155,177",5.20%,"1,112,153,156","1,048,993,304","63,159,852",6.00%
Convention Center Transfer,"12,058,362","11,302,618","755,744",6.70%,"91,292,438","96,618,694","-5,326,256",-5.50%
Transfer to Ballpark Fund,"1,322,957","1,524,230","-201,273",-13.20%,"9,751,390","9,493,127","258,263",2.70%
Transfer to Healthy DC Fund,0,"250,867","-250,867",-100.00%,0,"250,867","-250,867",-100.00%
Transfer to Healthy Schools,0,0,0,0.00%,0,"4,266,000","-4,266,000",-100.00%
Transfer to Prepaid Wireless (UC0),"45,322","60,024","-14,702",-24.50%,"491,341","523,168","-31,828",-6.10%
Transfer to TIF,"2,611,451","4,120,714","-1,509,263",-36.60%,"31,089,769","28,056,557","3,033,212",10.80%
Transfer to WMATA,"6,266,780","11,422,051","-5,155,271",-45.10%,"60,672,571","54,216,955","6,455,616",11.90%
General Sales And Use Tax (net),"101,922,663","89,391,855","12,530,808",14.00%,"913,419,648","855,567,935","57,851,713",6.80%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"101,922,663","89,391,855","12,530,808",14.00%,"913,419,648","855,567,935","57,851,713",6.80%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"625,677","488,660","137,017",28.00%,"5,624,224","5,078,281","545,943",10.80%
Cigarette,"2,114,800","2,387,188","-272,388",-11.40%,"24,984,785","24,236,445","748,340",3.10%
Motor Vehicle Fuel  (gross),"17,701,473",536,"17,700,937",3302413.70%,"18,758,669","15,905,421","2,853,248",17.90%
Transfer to Highway Trust Fund,"17,701,473",0,"17,701,473",0.00%,"17,701,473","15,906,529","1,794,944",11.30%
Motor Vehicle Fuel  (net),0,536,-536,-100.00%,"1,057,196","-1,108","1,058,304",-95492.40%
Motor Vehicle Excise Tax Gross Coll,"4,551,856","3,606,383","945,473",26.20%,"37,985,488","38,902,329","-916,840",-2.40%
TOTAL SELECTIVE SALES TAXES (net),"7,292,333","6,482,768","809,565",12.50%,"69,651,694","68,215,947","1,435,747",2.10%
TOTAL SALES TAXES (net),"109,214,996","95,874,623","13,340,374",13.90%,"983,071,342","923,783,882","59,287,460",6.40%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"137,806,404","112,644,492","25,161,912",22.30%,"1,950,306,047","1,919,484,166","30,821,881",1.60%
Individual Income,"129,272,744","118,720,721","10,552,023",8.90%,"1,534,574,843","1,540,155,233","-5,580,389",-0.40%
Corporate Franchise,"7,343,568","-2,217,960","9,561,528",-431.10%,"284,329,585","255,636,607","28,692,978",11.20%
U.B. Franchise,"1,190,092","-3,858,269","5,048,361",-130.80%,"131,401,619","123,692,326","7,709,292",6.20%
TOTAL INCOME AND FRANCHISE TAXES (net),"137,806,404","112,644,492","25,161,912",22.30%,"1,950,306,047","1,919,484,166","30,821,881",1.60%
GROSS RECEIPTS TAXES,,,,,,,,
