"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Nov-16,Nov-15,AMOUNT,PERCENT,Nov-16,Nov-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"6,505,386","6,763,437","-258,051",-3.80%,"28,061,893","27,812,906","248,987",0.90%
Real Property Tax (gross),"4,938,749","4,540,171","398,578",8.80%,"23,536,501","22,720,594","815,908",3.60%
Transfer to Pilot,"1,236,464",0,"1,236,464",0.00%,"1,236,464","998,538","237,926",23.80%
Transfer to TIF,"1,921,537","2,083","1,919,454",92148.50%,"1,921,537","461,317","1,460,219",316.50%
Real Property Tax (net),"1,780,748","4,538,088","-2,757,339",-60.80%,"20,378,501","21,260,738","-882,237",-4.10%
Personal Property,"512,687","720,254","-207,567",-28.80%,"1,131,736","1,134,008","-2,272",-0.20%
Public Spaces,"1,053,949","1,503,012","-449,063",-29.90%,"3,393,656","3,958,305","-564,649",-14.30%
TOTAL PROPERTY TAXES (net),"3,347,385","6,761,354","-3,413,969",-50.50%,"24,903,892","26,353,051","-1,449,158",-5.50%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"128,545,489","116,162,552","12,382,937",10.70%,"274,803,149","246,264,721","28,538,428",11.60%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"121,067,000","110,353,012","10,713,988",9.70%,"260,229,617","231,870,411","28,359,206",12.20%
Convention Center Transfer,"13,208,216","11,089,058","2,119,159",19.10%,"25,625,399","20,855,581","4,769,818",22.90%
Transfer to Ballpark Fund,"3,095,530",0,"3,095,530",0.00%,"3,095,530","2,440,275","655,255",26.90%
Transfer to Healthy DC Fund,0,"31,054","-31,054",-100.00%,0,"58,909","-58,909",-100.00%
Transfer to Prepaid Wireless (UC0),"49,845","53,740","-3,895",-7.20%,"99,760","106,914","-7,155",-6.70%
Transfer to TIF,"3,551,467","2,754,470","796,998",28.90%,"3,551,467","5,129,184","-1,577,717",-30.80%
Transfer to WMATA,"13,989,353","14,377,154","-387,801",-2.70%,"13,989,353","14,377,154","-387,801",-2.70%
General Sales And Use Tax (net),"87,172,589","82,047,536","5,125,052",6.20%,"213,868,109","188,902,394","24,965,715",13.20%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"87,172,589","82,047,536","5,125,052",6.20%,"213,868,109","188,902,394","24,965,715",13.20%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"617,679","502,812","114,867",22.80%,"1,183,145","1,129,696","53,449",4.70%
Cigarette,"2,235,556","1,869,380","366,176",19.60%,"5,555,104","5,740,848","-185,744",-3.20%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,0,0,0.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Excise Tax Gross Coll,"4,625,254","3,437,348","1,187,906",34.60%,"7,835,283","7,523,765","311,517",4.10%
TOTAL SELECTIVE SALES TAXES (net),"7,478,489","5,809,541","1,668,949",28.70%,"14,573,532","14,394,310","179,222",1.20%
TOTAL SALES TAXES (net),"94,651,078","87,857,077","6,794,001",7.70%,"228,441,641","203,296,704","25,144,937",12.40%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"134,757,338","116,018,234","18,739,104",16.20%,"294,425,691","271,986,974","22,438,717",8.20%
Individual Income,"124,512,142","108,037,962","16,474,180",15.20%,"267,095,943","253,733,500","13,362,443",5.30%
Corporate Franchise,"8,553,500","6,151,384","2,402,116",39.10%,"21,206,648","10,308,998","10,897,650",105.70%
U.B. Franchise,"1,691,695","1,828,887","-137,192",-7.50%,"6,123,100","7,944,476","-1,821,376",-22.90%
TOTAL INCOME AND FRANCHISE TAXES (net),"134,757,338","116,018,234","18,739,104",16.20%,"294,425,691","271,986,974","22,438,717",8.20%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"17,992,118","14,401,260","3,590,858",24.90%,"32,726,674","32,466,839","259,835",0.80%
Hospital Bed Tax,0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment,0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"1,430,094","1,208,033","222,062",18.40%,"2,719,746","2,654,394","65,352",2.50%
Transfer to Nursing facility Quality of Care Fund,"1,430,094","1,208,033","222,062",18.40%,"2,719,746","2,654,394","65,352",2.50%
Public Utilities (gross),"11,428,287","8,156,288","3,271,999",40.10%,"21,001,568","18,199,290","2,802,278",15.40%
Transfer to Ballpark Fund,"626,355","1,399,683","-773,327",-55.30%,"1,360,056","1,399,683","-39,626",-2.80%
Public Utilities (net),"10,801,932","6,756,605","4,045,327",59.90%,"19,641,512","16,799,607","2,841,905",16.90%
Ballpark Fee - Gross Receipts (gross),"554,668","593,443","-38,775",-6.50%,"1,362,093","1,092,078","270,015",24.70%
Transfer to Ballpark Fund,"554,668","593,443","-38,775",-6.50%,"1,362,093","1,092,078","270,015",24.70%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"96,116","83,966","12,150",14.50%,"135,058","89,873","45,185",50.30%
Transfer to Healthy DC Fund,"67,713",0,"67,713",0.00%,"67,713",0,"67,713",0.00%
Insurance Premiums (net),"28,403","83,966","-55,563",-66.20%,"67,345","89,873","-22,528",-25.10%
Toll Telecommunications  (gross),"4,431,403","4,359,531","71,872",1.60%,"7,406,733","10,431,204","-3,024,472",-29.00%
Transfer to Ballpark Fund,"116,348","688,544","-572,197",-83.10%,"298,804","688,544","-389,740",-56.60%
Toll Telecommunications  (net),"4,315,055","3,670,987","644,068",17.50%,"7,107,928","9,742,660","-2,634,732",-27.00%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"39,153,529","46,649,240","-7,495,710",-16.10%,"82,786,959","77,736,420","5,050,538",6.50%
Estate,"7,232,192","1,340,641","5,891,551",439.50%,"11,338,672","5,035,578","6,303,095",125.20%
Deed Recordation  (gross),"14,085,902","24,375,143","-10,289,241",-42.20%,"30,022,184","39,050,553","-9,028,369",-23.10%
Transfer to HPTF,"3,000,806","6,047,899","-3,047,094",-50.40%,"3,000,806","6,047,899","-3,047,094",-50.40%
Deed Recordation  (net),"11,085,097","18,327,244","-7,242,147",-39.50%,"27,021,378","33,002,654","-5,981,275",-18.10%
Deed Transfer  (gross),"11,495,541","20,275,504","-8,779,963",-43.30%,"26,335,899","32,203,304","-5,867,405",-18.20%
Transfer to HPTF,"2,579,780","4,260,484","-1,680,704",-39.40%,"2,579,780","4,260,484","-1,680,704",-39.40%
Deed Transfer  (net),"8,915,761","16,015,020","-7,099,259",-44.30%,"23,756,119","27,942,820","-4,186,701",-15.00%
Economic Interest (gross),"6,339,893","657,951","5,681,942",863.60%,"15,090,203","1,446,986","13,643,218",942.90%
Coop Recordation (net),"384,425","427,035","-42,610",-10.00%,"850,856","840,201","10,655",1.30%
Economic Interest (net),"5,955,468","230,916","5,724,552",2479.10%,"14,239,347","606,785","13,632,562",2246.70%
TOTAL OTHER TAXES (net),"33,572,943","36,340,856","-2,767,913",-7.60%,"77,206,373","67,428,037","9,778,335",14.50%
TOTAL TAX COLLECTIONS (gross),"326,953,860","299,994,722","26,959,137",9.00%,"712,804,366","656,267,861","56,536,505",8.60%
TOTAL TAX COLLECTIONS (net),"281,474,134","257,489,079","23,985,055",9.30%,"651,794,382","595,696,907","56,097,475",9.40%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"4,328,447","3,964,153","364,294",9.20%,"7,233,322","7,804,895","-571,573",-7.30%
Nonbusiness Licenses & Permits,"3,650,862","2,544,397","1,106,465",43.50%,"6,367,647","5,198,452","1,169,195",22.50%
TOTAL LICENSES AND PERMITS,"7,979,309","6,508,550","1,470,759",22.60%,"13,600,969","13,003,347","597,622",4.60%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"6,188,570","3,572,205","2,616,365",73.20%,"11,289,823","7,240,602","4,049,221",55.90%
Rentals,"1,028,099","898,783","129,316",14.40%,"2,157,989","1,817,946","340,044",18.70%
Tuitions,0,0,0,0.00%,0,0,0,0.00%
TOTAL CHARGES FOR SERVICES - PUBLIC,"7,216,669","4,470,988","2,745,681",61.40%,"13,447,812","9,058,548","4,389,264",48.50%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,0,"14,703","-14,703",-100.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,0,"14,703","-14,703",-100.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"7,631,722","7,984,187","-352,465",-4.40%,"16,582,008","15,126,255","1,455,753",9.60%
Other Fines & Forfeitures,"925,825","813,098","112,727",13.90%,"1,467,802","1,660,973","-193,171",-11.60%
Traffic Fines,"5,291,516","5,569,276","-277,760",-5.00%,"11,575,747","11,614,088","-38,341",-0.30%
TOTAL FINES AND FORFEITURES,"13,849,064","14,366,561","-517,497",-3.60%,"29,625,557","28,401,316","1,224,241",4.30%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),"3,989,260",0,"3,989,260",0.00%,"3,989,260",0,"3,989,260",0.00%
Interest Income,475,"288,893","-288,418",-99.80%,477,"404,676","-404,199",-99.90%
Unclaimed Property,"9,183,618","6,447,738","2,735,881",42.40%,"29,415,840","25,058,020","4,357,820",17.40%
Other Revenue,"14,247,335","500,858","13,746,477",2744.60%,"14,870,766","1,024,484","13,846,282",1351.50%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,"1,090,780","1,434,075","-343,295",-23.90%,"1,090,780","1,434,075","-343,295",-23.90%
Legalized Gambling,"5,900,000","9,500,000","-3,600,000",-37.90%,"10,800,000","9,500,000","1,300,000",13.70%
Special Purpose O-Type Revenue,"38,466,193","41,980,409","-3,514,216",-8.40%,"94,521,840","81,002,277","13,519,563",16.70%
TOTAL TRANSFER FROM OTHER FUNDS,"45,456,973","52,914,485","-7,457,511",-14.10%,"106,412,620","91,936,352","14,476,268",15.70%
TOTAL NON-TAX REVENUES,"101,922,704","85,498,072","16,424,632",19.20%,"211,363,301","168,901,446","42,461,856",25.10%
TOTAL GENERAL FUND (GROSS),"428,876,563","385,492,794","43,383,769",11.30%,"924,167,668","825,169,307","98,998,361",12.00%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"13,989,353","14,377,154","-387,801",-2.70%,"13,989,353","14,377,154","-387,801",-2.70%
Plastic Bag fee,"218,443","194,730","23,714",12.20%,"218,443","194,730","23,714",12.20%
TOTAL,"14,207,796","14,571,884","-364,087",-2.50%,"14,207,796","14,571,884","-364,087",-2.50%
REFUNDS,,,,,,,,
Personal Property Tax Refunds,"6,800","196,102","-189,302",-96.50%,"22,186","403,240","-381,055",-94.50%
Real Property Tax Refunds,"1,361,492","3,097,628","-1,736,136",-56.00%,"4,999,570","7,407,382","-2,407,813",-32.50%
Sales & Use Tax Refunds,"403,025","88,767","314,258",354.00%,"499,446","471,218","28,228",6.00%
TOTAL REFUNDS,"1,771,316","3,382,497","-1,611,180",-47.60%,"5,521,202","8,281,841","-2,760,639",-33.30%
CORPORATION FRANCHISE TAXES,,,,,,,,
