"TAXCOLLECTIONS",,"MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,,Jul-17,Jul-16,AMOUNT,PERCENT,Jul-17,Jul-16,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,,
TOTAL PROPERTY TAXES (gross),,"52,467,909","47,122,616","5,345,293",11.30%,"1,343,268,135","1,254,056,248","89,211,886",7.10%
Real Property Tax (gross),,"13,105,842","16,076,170","-2,970,328",-18.50%,"1,290,088,504","1,203,964,972","86,123,531",7.20%
Transfer to Pilot,,"5,020","-259,457","264,477",-101.90%,"15,372,969","9,584,980","5,787,989",60.40%
Transfer to TIF,,0,"4,196","-4,196",-100.00%,"10,687,659","10,037,042","650,617",6.50%
Real Property Tax (net),,"13,100,821","16,331,431","-3,230,610",-19.80%,"1,264,027,876","1,184,342,950","79,684,926",6.70%
Personal Property,,"36,557,294","28,035,992","8,521,302",30.40%,"39,940,420","31,106,223","8,834,197",28.40%
Public Spaces,,"2,804,773","3,010,454","-205,681",-6.80%,"13,239,211","18,985,053","-5,745,842",-30.30%
TOTAL PROPERTY TAXES (net),,"52,462,889","47,377,877","5,085,011",10.70%,"1,317,207,507","1,234,434,226","82,773,281",6.70%
SALES TAXES,,,,,,,,,
TOTAL SALES TAXES (gross),,"147,834,016","149,221,342","-1,387,326",-0.90%,"1,307,134,442","1,199,506,323","107,628,118",9.00%
GENERAL SALES AND USE TAXES,,,,,,,,,
General Sales And Use Tax (gross),,"140,880,366","124,227,536","16,652,830",13.40%,"1,222,547,935","1,112,153,156","110,394,780",9.90%
Convention Center Transfer,,"11,599,125","12,058,362","-459,237",-3.80%,"118,681,444","91,292,438","27,389,005",30.00%
Transfer to Ballpark Fund,,"1,408,528","1,322,957","85,571",6.50%,"13,118,165","9,751,390","3,366,775",34.50%
Transfer to Healthy DC Fund,,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),,"48,077","45,322","2,755",6.10%,"478,509","491,341","-12,832",-2.60%
Transfer to TIF,,"1,654,198","2,611,451","-957,253",-36.70%,"25,281,865","31,089,769","-5,807,904",-18.70%
Transfer to WMATA,,"6,308,423","6,266,780","41,643",0.70%,"61,578,964","60,672,571","906,393",1.50%
