"TAXCOLLECTIONS",,"MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,,Jun-17,Jun-16,AMOUNT,PERCENT,Jun-17,Jun-16,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,,
TOTAL PROPERTY TAXES (gross),,"6,750,769","3,851,150","2,899,619",75.30%,"1,290,716,785","1,206,933,632","83,783,153",6.90%
Real Property Tax (gross),,"2,793,634","-271,992","3,065,626",-1127.10%,"1,276,899,221","1,187,888,803","89,010,418",7.50%
Transfer to Pilot,,"72,005","579,356","-507,351",-87.60%,"15,367,949","9,844,437","5,523,511",56.10%
Transfer to TIF,,"109,687","-329,864","439,551",-133.30%,"10,687,659","10,032,846","654,813",6.50%
Real Property Tax (net),,"2,611,943","-521,484","3,133,426",-600.90%,"1,250,843,613","1,168,011,519","82,832,095",7.10%
Personal Property,,"299,920","247,612","52,307",21.10%,"3,383,126","3,070,232","312,895",10.20%
Public Spaces,,"3,657,215","3,875,530","-218,314",-5.60%,"10,434,438","15,974,598","-5,540,160",-34.70%
TOTAL PROPERTY TAXES (net),,"6,569,077","3,601,658","2,967,419",82.40%,"1,264,661,177","1,187,056,349","77,604,829",6.50%
SALES TAXES,,,,,,,,,
TOTAL SALES TAXES (gross),,"152,983,191","127,265,596","25,717,595",20.20%,"1,159,300,426","1,050,284,981","109,015,444",10.40%
GENERAL SALES AND USE TAXES,,,,,,,,,
General Sales And Use Tax (gross),,"125,387,834","118,126,641","7,261,194",6.10%,"1,081,667,569","987,925,620","93,741,949",9.50%
Convention Center Transfer,,"25,084,601","13,093,714","11,990,887",91.60%,"107,082,319","79,234,076","27,848,242",35.10%
Transfer to Ballpark Fund,,"1,613,889","1,832,753","-218,864",-11.90%,"11,709,637","8,428,433","3,281,204",38.90%
Transfer to Healthy DC Fund,,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),,"44,603","47,632","-3,028",-6.40%,"430,431","446,019","-15,587",-3.50%
Transfer to TIF,,"5,762,440","3,567,885","2,194,555",61.50%,"23,627,667","28,478,318","-4,850,650",-17.00%
Transfer to WMATA,,"6,222,863","6,080,167","142,696",2.30%,"55,270,541","54,405,791","864,750",1.60%
General Sales And Use Tax (net),,"86,659,438","93,504,491","-6,845,053",-7.30%,"878,110,974","811,496,984","66,613,990",8.20%
Plastic Bag Use Fee,,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),,"86,659,438","93,504,491","-6,845,053",-7.30%,"878,110,974","811,496,984","66,613,990",8.20%
SELECTIVE SALES TAXES,,,,,,,,,
Alcoholic Beverage,,"676,699","732,858","-56,159",-7.70%,"4,870,024","4,998,548","-128,524",-2.60%
Cigarette,,"1,803,858","3,886,627","-2,082,769",-53.60%,"21,534,815","22,869,985","-1,335,170",-5.80%
Motor Vehicle Fuel  (gross),,"17,015,924","1,057,196","15,958,728",1509.50%,"17,015,924","1,057,196","15,958,728",1509.50%
Transfer to Highway Trust Fund,,"17,015,924",0,"17,015,924",0.00%,"17,015,924",0,"17,015,924",0.00%
Motor Vehicle Fuel  (net),,0,"1,057,196","-1,057,196",-100.00%,0,"1,057,196","-1,057,196",-100.00%
Motor Vehicle Excise Tax Gross Coll,,"8,098,875","3,462,274","4,636,602",133.90%,"34,212,094","33,433,633","778,461",2.30%
TOTAL SELECTIVE SALES TAXES (net),,"10,579,433","9,138,955","1,440,478",15.80%,"60,616,932","62,359,361","-1,742,429",-2.80%
TOTAL SALES TAXES (net),,"97,238,871","102,643,446","-5,404,575",-5.30%,"938,727,907","873,856,345","64,871,561",7.40%
INCOME AND FRANCHISE TAXES,,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),,"254,921,361","242,804,151","12,117,210",5.00%,"1,862,286,475","1,812,499,643","49,786,832",2.70%
Individual Income,,"179,638,381","168,791,933","10,846,448",6.40%,"1,403,406,600","1,405,302,099","-1,895,499",-0.10%
Corporate Franchise,,"56,180,642","50,910,625","5,270,017",10.40%,"322,464,644","276,986,017","45,478,627",16.40%
U.B. Franchise,,"19,102,338","23,101,593","-3,999,255",-17.30%,"136,415,230","130,211,526","6,203,704",4.80%
TOTAL INCOME AND FRANCHISE TAXES (net),,"254,921,361","242,804,151","12,117,210",5.00%,"1,862,286,475","1,812,499,643","49,786,832",2.70%
GROSS RECEIPTS TAXES,,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),,"50,764,532","43,445,974","7,318,558",16.80%,"298,091,732","299,319,562","-1,227,830",-0.40%
ICF-MR Assesment,,0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),,"5,231,073","3,219,671","2,011,402",62.50%,"8,266,713","9,290,002","-1,023,289",-11.00%
Transfer to Nursing facility Quality of Care Fund,,"5,231,073","3,219,671","2,011,402",62.50%,"8,266,713","9,290,002","-1,023,289",-11.00%
Healthcare Provider Tax (net),,0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),,"10,835,142","10,631,108","204,034",1.90%,"101,437,830","100,999,456","438,374",0.40%
Transfer to Ballpark Fund,,"654,782","621,138","33,645",5.40%,"5,948,422","6,037,425","-89,003",-1.50%
Public Utilities (net),,"10,180,360","10,009,971","170,389",1.70%,"95,489,408","94,962,031","527,377",0.60%
