"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Apr-17,Apr-16,AMOUNT,PERCENT,Apr-17,Apr-16,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"307,126,046","435,212,750","-128,086,704",-29.40%,"1,258,486,401","1,191,320,418","67,165,983",5.60%
Real Property Tax (gross),"304,774,877","432,975,817","-128,200,940",-29.60%,"1,246,038,578","1,177,484,170","68,554,408",5.80%
Transfer to Pilot,"988,159","1,516,059","-527,900",-34.80%,"8,494,628","8,981,546","-486,918",-5.40%
Transfer to TIF,"1,449,351","6,550,151","-5,100,799",-77.90%,"3,902,921","7,576,039","-3,673,118",-48.50%
Real Property Tax (net),"302,337,366","424,909,607","-122,572,240",-28.80%,"1,233,641,029","1,160,926,585","72,714,443",6.30%
Personal Property,"329,905","123,574","206,331",167.00%,"2,776,711","2,725,852","50,859",1.90%
Public Spaces,"2,021,264","2,113,359","-92,096",-4.40%,"9,671,113","11,110,396","-1,439,283",-13.00%
TOTAL PROPERTY TAXES (net),"304,688,535","427,146,540","-122,458,005",-28.70%,"1,246,088,852","1,174,762,833","71,326,019",6.10%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"139,999,827","133,746,367","6,253,460",4.70%,"876,177,072","795,403,125","80,773,946",10.20%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"133,725,837","127,047,405","6,678,432",5.30%,"830,263,942","748,775,636","81,488,306",10.90%
Convention Center Transfer,"12,124,238","11,606,645","517,593",4.50%,"79,419,553","53,629,333","25,790,220",48.10%
Transfer to Ballpark Fund,"709,553","15,420","694,133",4501.50%,"8,691,338","6,595,680","2,095,658",31.80%
Transfer to Healthy DC Fund,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),"95,375","51,976","43,398",83.50%,"336,791","355,246","-18,456",-5.20%
Transfer to TIF,"1,992,532","1,780,667","211,865",11.90%,"16,587,069","16,632,465","-45,397",-0.30%
Transfer to WMATA,"6,236,279","6,219,362","16,917",0.30%,"43,030,143","42,287,994","742,149",1.80%
General Sales And Use Tax (net),"112,567,860","107,373,335","5,194,525",4.80%,"676,763,049","623,838,917","52,924,132",8.50%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"112,567,860","107,373,335","5,194,525",4.80%,"676,763,049","623,838,917","52,924,132",8.50%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"362,473","514,072","-151,599",-29.50%,"3,724,771","3,822,264","-97,493",-2.60%
Cigarette,"2,782,229","2,718,372","63,857",2.30%,"16,675,758","16,548,676","127,083",0.80%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,0,0,0.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Excise Tax Gross Coll,"3,129,288","3,466,518","-337,231",-9.70%,"25,512,600","26,256,550","-743,949",-2.80%
TOTAL SELECTIVE SALES TAXES (net),"6,273,990","6,698,962","-424,972",-6.30%,"45,913,129","46,627,489","-714,360",-1.50%
TOTAL SALES TAXES (net),"118,841,850","114,072,297","4,769,553",4.20%,"722,676,179","670,466,407","52,209,772",7.80%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"379,067,880","345,754,518","33,313,362",9.60%,"1,446,124,228","1,417,803,578","28,320,650",2.00%
Individual Income,"240,344,326","260,735,311","-20,390,984",-7.80%,"1,077,585,440","1,097,471,488","-19,886,047",-1.80%
Corporate Franchise,"82,771,072","30,699,403","52,071,669",169.60%,"257,030,599","219,492,690","37,537,910",17.10%
U.B. Franchise,"55,952,482","54,319,804","1,632,678",3.00%,"111,508,188","100,839,401","10,668,787",10.60%
TOTAL INCOME AND FRANCHISE TAXES (net),"379,067,880","345,754,518","33,313,362",9.60%,"1,446,124,228","1,417,803,578","28,320,650",2.00%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"18,552,056","24,043,649","-5,491,593",-22.80%,"183,445,397","190,682,605","-7,237,208",-3.80%
Hospital Bed Tax,0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment,0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"-7,019,911","-2,193,724","-4,826,187",220.00%,"1,663,184","4,418,365","-2,755,182",-62.40%
Transfer to Nursing facility Quality of Care Fund,"-7,019,911","-2,193,724","-4,826,187",220.00%,"1,663,184","4,418,365","-2,755,182",-62.40%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"11,981,841","12,762,261","-780,420",-6.10%,"79,823,400","78,679,456","1,143,944",1.50%
Transfer to Ballpark Fund,"640,782","780,995","-140,214",-18.00%,"4,617,352","4,651,235","-33,883",-0.70%
Public Utilities (net),"11,341,060","11,981,265","-640,206",-5.30%,"75,206,048","74,028,221","1,177,827",1.60%
Ballpark Fee - Gross Receipts (gross),"302,881","1,060,188","-757,307",-71.40%,"3,473,211","3,777,966","-304,755",-8.10%
Transfer to Ballpark Fund,"302,881","1,060,188","-757,307",-71.40%,"3,473,211","3,777,966","-304,755",-8.10%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"252,515","1,347,241","-1,094,726",-81.30%,"54,551,070","57,226,549","-2,675,479",-4.70%
Transfer to Healthy DC Fund,"90,756",0,"90,756",0.00%,"2,163,115","1,923,478","239,637",12.50%
Insurance Premiums (net),"161,759","1,347,241","-1,185,482",-88.00%,"52,387,954","55,303,071","-2,915,117",-5.30%
Toll Telecommunications  (gross),"4,277,602","4,427,480","-149,878",-3.40%,"28,452,005","33,223,075","-4,771,070",-14.40%
Transfer to Ballpark Fund,"214,709","232,305","-17,596",-7.60%,"1,378,390","1,690,389","-311,999",-18.50%
Toll Telecommunications  (net),"4,062,893","4,195,175","-132,282",-3.20%,"27,073,615","31,532,686","-4,459,071",-14.10%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"31,397,068","42,907,239","-11,510,172",-26.80%,"279,100,150","271,077,752","8,022,398",3.00%
Estate,"1,328,757","255,804","1,072,953",419.40%,"25,071,031","34,962,060","-9,891,029",-28.30%
Deed Recordation  (gross),"16,383,244","27,338,096","-10,954,852",-40.10%,"134,467,088","131,526,945","2,940,143",2.20%
Transfer to HPTF,"6,434,732","3,006,686","3,428,047",114.00%,"20,757,505","19,474,811","1,282,694",6.60%
Deed Recordation  (net),"9,948,511","24,331,410","-14,382,899",-59.10%,"113,709,583","112,052,134","1,657,449",1.50%
Deed Transfer  (gross),"13,177,450","14,605,709","-1,428,260",-9.80%,"102,176,098","94,904,458","7,271,640",7.70%
Transfer to HPTF,"5,109,025","2,071,344","3,037,681",146.70%,"15,973,572","14,516,126","1,457,445",10.00%
Deed Transfer  (net),"8,068,425","12,534,366","-4,465,941",-35.60%,"86,202,527","80,388,332","5,814,195",7.20%
Economic Interest (gross),"507,617","707,630","-200,012",-28.30%,"17,385,933","9,684,289","7,701,645",79.50%
Coop Recordation (net),"503,896","707,630","-203,733",-28.80%,"2,895,640","3,122,362","-226,722",-7.30%
Economic Interest (net),"3,721",0,"3,721",0.00%,"14,446,068","6,486,312","7,959,757",122.70%
TOTAL OTHER TAXES (net),"19,853,311","37,829,210","-17,975,899",-47.50%,"242,324,849","237,011,200","5,313,649",2.20%
TOTAL TAX COLLECTIONS (gross),"876,142,876","981,664,523","-105,521,647",-10.70%,"4,043,333,248","3,866,287,478","177,045,770",4.60%
TOTAL TAX COLLECTIONS (net),"838,017,288","942,326,247","-104,308,959",-11.10%,"3,811,881,725","3,660,907,995","150,973,730",4.10%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"6,260,580","4,024,203","2,236,376",55.60%,"30,222,651","30,870,609","-647,958",-2.10%
Nonbusiness Licenses & Permits,"7,568,347","2,918,626","4,649,721",159.30%,"20,563,404","18,915,322","1,648,083",8.70%
TOTAL LICENSES AND PERMITS,"13,828,927","6,942,829","6,886,098",99.20%,"50,786,055","49,785,931","1,000,125",2.00%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"7,505,790","4,204,535","3,301,254",78.50%,"44,935,230","40,495,097","4,440,133",11.00%
Rentals,"842,554","1,209,936","-367,382",-30.40%,"7,445,973","7,635,886","-189,913",-2.50%
Tuitions,0,3,-3,-100.00%,0,3,-3,-100.00%
CHARGES FOR SERVICES - INTERGOVERNMENTAL,,,,,,,,
Reimbursement From Other Governments,0,0,0,0.00%,0,"14,854","-14,854",-100.00%
TOTAL CHARGES FOR SERVICES - INTERGOVERNMENTAL,0,0,0,0.00%,0,"14,854","-14,854",-100.00%
FINES AND FORFEITURES,,,,,,,,
Automated Enforcement,"7,882,189","8,163,462","-281,274",-3.40%,"58,068,320","56,882,744","1,185,576",2.10%
Other Fines & Forfeitures,"786,903","761,422","25,481",3.30%,"5,327,362","5,392,473","-65,111",-1.20%
Traffic Fines,"3,928,652","5,118,326","-1,189,674",-23.20%,"34,095,185","39,500,040","-5,404,855",-13.70%
TOTAL FINES AND FORFEITURES,"12,597,744","14,043,210","-1,445,467",-10.30%,"97,490,867","101,775,257","-4,284,390",-4.20%
MISCELLANEOUS REVENUE,,,,,,,,
Other Transfer (WASA Pilot Program),0,0,0,0.00%,"7,978,521","7,822,079","156,442",2.00%
Interest Income,"1,153,979","117,607","1,036,372",881.20%,"5,459,089","1,475,791","3,983,299",269.90%
Unclaimed Property,"3,965,350","3,907,768","57,582",1.50%,"36,874,623","32,510,195","4,364,428",13.40%
Other Revenue,"461,204","1,446,789","-985,585",-68.10%,"14,752,392","6,905,731","7,846,661",113.60%
TOTAL MISCELLANEOUS REVENUE,"5,580,534","5,472,165","108,369",2.00%,"65,064,625","48,713,795","16,350,830",33.60%
TRANSFER FROM OTHER FUNDS,,,,,,,,
Interfund-Transfers In,0,0,0,0.00%,"1,090,780","1,434,076","-343,296",-23.90%
Legalized Gambling,"2,800,000","4,000,000","-1,200,000",-30.00%,"23,400,000","33,216,862","-9,816,862",-29.60%
Special Purpose O-Type Revenue,"50,612,047","54,748,903","-4,136,856",-7.60%,"347,062,476","304,419,400","42,643,076",14.00%
TOTAL TRANSFER FROM OTHER FUNDS,"53,412,047","58,748,903","-5,336,856",-9.10%,"371,553,255","339,070,337","32,482,918",9.60%
TOTAL NON-TAX REVENUES,"93,767,596","90,621,583","3,146,013",3.50%,"637,276,005","587,491,160","49,784,845",8.50%
TOTAL GENERAL FUND (GROSS),"969,910,472","1,072,286,106","-102,375,634",-9.50%,"4,680,609,253","4,453,778,638","226,830,615",5.10%
"TAXCOLLECTIONS",,,,,,,,
Parking Meters Dedicated to WMATA,"6,236,279","6,219,362","16,917",0.30%,"43,030,143","42,287,994","742,149",1.8
Plastic Bag fee,"148,891","180,856","-31,965",-17.70%,"1,173,257","1,150,598","22,659",2
TOTAL,"6,385,170","6,400,218","-15,048",-0.20%,"44,203,400","43,438,592","764,808",1.8
REFUNDS,,,,,,,,
Personal Property Tax Refunds,24,"2,113","-2,089",-98.80%,"82,996","779,964","-696,968",(89.4%
Real Property Tax Refunds,"1,856,538","3,020,850","-1,164,311",-38.50%,"20,053,128","21,967,716","-1,914,588",(8.7%
Sales & Use Tax Refunds,"74,889","83,294","-8,405",-10.10%,"1,236,231","769,700","-466,531",(60.6%
TOTAL REFUNDS,"1,931,452","3,106,257","-1,174,805",-37.80%,"21,372,355","23,517,380","-2,145,025",(9.1%
CORPORATION FRANCHISE TAXES,,,,,,,,
Declarations,"17,344,843","3,393,983","13,950,860",411.00%,"83,173,436","18,833,129","64,340,307",341.6
Payments,"65,754,819","31,576,813","34,178,006",108.20%,"191,404,351","225,087,325","-33,682,974",(15.0%
Refunds,"324,700","4,256,649","-3,931,949",-92.40%,"17,229,347","24,249,828","-7,020,482",(29.0%
TOTAL CORPORATION FRANCHISE TAXES,"82,774,962","30,714,146","52,060,815",169.50%,"257,348,441","219,670,625","37,677,815",17.2
INDIVIDUAL INCOME TAXES,,,,,,,,
Declarations,"26,916,382","28,351,285","-1,434,903",-5.10%,"163,585,449","168,796,059","-5,210,609",(3.1%
Fiducary,"6,401,731","18,855,075","-12,453,344",-66.00%,"8,274,816","21,125,099","-12,850,283",(60.8%
Payments,"128,530,767","161,461,576","-32,930,809",-20.40%,"172,342,186","221,526,211","-49,184,025",(22.2%
Refunds,"97,475,546","94,140,078","3,335,468",3.50%,"318,380,828","287,827,486","30,553,342",10.6
Withholding,"176,297,213","146,518,338","29,778,876",20.30%,"1,054,446,761","974,320,953","80,125,808",8.2
TOTAL INDIVIDUAL INCOME TAXES,"240,670,547","261,046,195","-20,375,648",-7.80%,"1,080,268,385","1,097,940,836","-17,672,451",(1.6%
UNINCORPORATED FRANCHISE TAXES,,,,,,,,
Declarations,"19,064,900","4,332,704","14,732,196",340.00%,"49,218,083","15,941,637","33,276,446",208.7
Payments,"36,948,499","50,573,722","-13,625,222",-26.90%,"69,015,400","92,201,238","-23,185,838",(25.1%
Refunds,"60,918","586,621","-525,704",-89.60%,"6,725,296","7,303,475","-578,179",(7.9%
TOTAL UNINCORPORATED FRANCHISE TAXES,"55,952,482","54,319,804","1,632,678",3.00%,"111,508,188","100,839,401","10,668,787",10.6
"TAXCOLLECTIONS",,,,,,,,
Ballpark Bonds,"7,782,597","2,089,797","5,692,800",272.40%,"24,077,915","16,721,113","7,356,803",44
Healthy DC Fund,"90,756",0,"90,756",0.00%,"2,163,115","1,923,478","239,637",12.5
Housing Production Trust Fund,"11,543,757","5,078,029","6,465,728",127.30%,"36,731,076","33,990,937","2,740,139",8.1
