"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Feb-17,Feb-16,AMOUNT,PERCENT,Feb-17,Feb-16,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"4,198,203","1,015,150","3,183,053",313.60%,"40,424,554","37,675,329","2,749,226",7.30%
Real Property Tax (gross),"3,154,986","-77,149","3,232,135",-4189.50%,"31,527,919","27,486,505","4,041,414",14.70%
Transfer to Pilot,0,0,0,0.00%,"1,236,464","998,538","237,926",23.80%
Transfer to TIF,"7,000","221,765","-214,765",-96.80%,"1,934,096","687,248","1,246,848",181.40%
Real Property Tax (net),"3,147,986","-298,914","3,446,900",-1153.10%,"28,357,359","25,800,719","2,556,640",9.90%
Personal Property,"-36,926","284,848","-321,774",-113.00%,"2,378,535","2,404,722","-26,186",-1.10%
Public Spaces,"1,080,143","807,451","272,692",33.80%,"6,518,100","7,784,102","-1,266,002",-16.30%
TOTAL PROPERTY TAXES (net),"4,191,203","793,386","3,397,818",428.30%,"37,253,994","35,989,543","1,264,452",3.50%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"114,644,231","89,252,774","25,391,457",28.40%,"631,495,650","559,385,659","72,109,991",12.90%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"108,687,297","83,648,382","25,038,915",29.90%,"597,809,593","526,212,755","71,596,838",13.60%
Convention Center Transfer,"9,421,202","7,331,607","2,089,595",28.50%,"57,499,094","34,053,049","23,446,045",68.90%
Transfer to Ballpark Fund,"955,649","966,635","-10,986",-1.10%,"7,178,747","5,510,991","1,667,756",30.30%
Transfer to Healthy DC Fund,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),"46,458","48,707","-2,249",-4.60%,"241,416","257,333","-15,917",-6.20%
Transfer to TIF,"2,057,577","2,172,930","-115,353",-5.30%,"12,354,541","11,312,722","1,041,820",9.20%
Transfer to WMATA,"5,548,158","5,087,846","460,312",9.00%,"31,099,401","30,411,434","687,967",2.30%
General Sales And Use Tax (net),"90,658,253","68,040,657","22,617,597",33.20%,"488,266,394","444,667,227","43,599,167",9.80%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"90,658,253","68,040,657","22,617,597",33.20%,"488,266,394","444,667,227","43,599,167",9.80%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"419,983","409,343","10,641",2.60%,"2,864,822","2,776,211","88,611",3.20%
Cigarette,"2,177,318","1,747,594","429,724",24.60%,"12,300,909","12,033,102","267,807",2.20%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,0,0,0.00%
