"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Sep-16,Sep-15,AMOUNT,PERCENT,Sep-16,Sep-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"988,429,126","975,562,530","12,866,596",1.30%,"2,419,275,374","2,392,898,186","26,377,189",1.10%
Real Property Tax (gross),"966,063,014","958,963,397","7,099,616",0.70%,"2,313,449,441","2,297,924,628","15,524,813",0.70%
Transfer to Pilot,"7,297,637","8,208,688","-911,051",-11.10%,"16,936,729","18,571,656","-1,634,926",-8.80%
Transfer to TIF,"6,781,995","13,582,776","-6,800,781",-50.10%,"17,482,424","21,959,856","-4,477,432",-20.40%
Real Property Tax (net),"951,983,382","937,171,933","14,811,449",1.60%,"2,279,030,288","2,257,393,116","21,637,172",1.00%
Personal Property,"-537,415","609,193","-1,146,609",-188.20%,"59,779,574","58,536,828","1,242,746",2.10%
Public Spaces,"22,903,528","15,989,939","6,913,589",43.20%,"46,046,360","36,436,730","9,609,629",26.40%
TOTAL PROPERTY TAXES (net),"974,349,494","953,771,066","20,578,429",2.20%,"2,384,856,221","2,352,366,675","32,489,547",1.40%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"108,991,430","108,792,312","199,118",0.20%,"1,418,130,610","1,353,502,564","64,628,046",4.80%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"99,939,527","99,674,373","265,155",0.30%,"1,313,648,973","1,254,195,319","59,453,653",4.70%
Convention Center Transfer,"9,628,060","8,913,575","714,485",8.00%,"110,730,163","117,307,327","-6,577,165",-5.60%
Transfer to Ballpark Fund,"3,097,498","2,906,911","190,587",6.60%,"14,407,445","14,034,984","372,461",2.70%
Transfer to Healthy DC Fund,0,"-276,887","276,887",-100.00%,0,0,0,0.00%
Transfer to Healthy Schools,0,0,0,0.00%,0,"4,266,000","-4,266,000",-100.00%
Transfer to Prepaid Wireless (UC0),0,"53,088","-53,088",-100.00%,"539,941","630,588","-90,647",-14.40%
Transfer to TIF,"2,375,538","3,294,791","-919,253",-27.90%,"36,021,116","34,281,133","1,739,983",5.10%
Transfer to WMATA,"6,307,682","5,708,400","599,282",10.50%,"72,920,017","65,901,514","7,018,503",10.60%
General Sales And Use Tax (net),"78,530,749","79,074,495","-543,746",-0.70%,"1,073,594,291","1,017,773,773","55,820,518",5.50%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"78,530,749","79,074,495","-543,746",-0.70%,"1,073,594,291","1,017,773,773","55,820,518",5.50%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"445,724","402,052","43,672",10.90%,"6,529,631","6,160,588","369,043",6.00%
Cigarette,"2,225,454","5,100,281","-2,874,827",-56.40%,"30,567,848","30,633,381","-65,533",-0.20%
Motor Vehicle Fuel  (gross),"3,590,322","-214,364","3,804,686",-1774.90%,"22,348,992","15,906,529","6,442,462",40.50%
Transfer to Highway Trust Fund,"4,647,518",0,"4,647,518",0.00%,"22,348,992","15,906,529","6,442,462",40.50%
Motor Vehicle Fuel  (net),"-1,057,196","-214,364","-842,832",393.20%,0,0,0,0.00%
Motor Vehicle Excise Tax Gross Coll,"2,790,402","3,829,970","-1,039,568",-27.10%,"45,034,914","46,606,745","-1,571,831",-3.40%
TOTAL SELECTIVE SALES TAXES (net),"4,404,384","9,117,939","-4,713,555",-51.70%,"82,132,393","83,400,715","-1,268,322",-1.50%
