"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Mar-17,Mar-16,AMOUNT,PERCENT,Mar-17,Mar-16,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"911,531,990","718,432,339","193,099,651",26.90%,"951,941,596","756,107,668","195,833,928",25.90%
Real Property Tax (gross),"910,331,971","717,021,848","193,310,123",27.00%,"941,844,941","744,508,353","197,336,588",26.50%
Transfer to Pilot,"6,270,004","6,466,948","-196,944",-3.00%,"7,506,469","7,465,487","40,982",0.50%
Transfer to TIF,"519,474","338,640","180,833",53.40%,"2,453,570","1,025,888","1,427,681",139.20%
Real Property Tax (net),"903,542,493","710,216,260","193,326,234",27.20%,"931,884,903","736,016,979","195,867,925",26.60%
Personal Property,"68,270","197,556","-129,286",-65.40%,"2,446,806","2,602,278","-155,472",-6.00%
Public Spaces,"1,131,749","1,212,934","-81,186",-6.70%,"7,649,849","8,997,036","-1,347,188",-15.00%
TOTAL PROPERTY TAXES (net),"904,742,512","711,626,750","193,115,762",27.10%,"941,981,558","747,616,293","194,365,265",26.00%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"104,681,594","102,271,099","2,410,495",2.40%,"736,177,245","661,656,758","74,520,487",11.30%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"98,728,512","95,515,475","3,213,037",3.40%,"696,538,105","621,728,231","74,809,874",12.00%
Convention Center Transfer,"9,796,221","7,969,639","1,826,582",22.90%,"67,295,315","42,022,688","25,272,627",60.10%
Transfer to Ballpark Fund,"803,038","1,069,269","-266,231",-24.90%,"7,981,785","6,580,260","1,401,525",21.30%
Transfer to Healthy DC Fund,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),0,"45,937","-45,937",-100.00%,"241,416","303,270","-61,854",-20.40%
Transfer to TIF,"2,239,995","3,539,077","-1,299,082",-36.70%,"14,594,536","14,851,799","-257,262",-1.70%
Transfer to WMATA,"5,694,463","5,657,198","37,265",0.70%,"36,793,864","36,068,632","725,232",2.00%
General Sales And Use Tax (net),"75,928,795","71,798,356","4,130,440",5.80%,"564,195,189","516,465,582","47,729,607",9.20%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"75,928,795","71,798,356","4,130,440",5.80%,"564,195,189","516,465,582","47,729,607",9.20%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"497,475","531,981","-34,506",-6.50%,"3,362,298","3,308,192","54,106",1.60%
Cigarette,"1,592,620","1,797,202","-204,582",-11.40%,"13,893,529","13,830,304","63,225",0.50%
Motor Vehicle Fuel  (gross),0,0,0,0.00%,0,0,0,0.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Excise Tax Gross Coll,"3,862,987","4,426,441","-563,454",-12.70%,"22,383,313","22,790,031","-406,719",-1.80%
TOTAL SELECTIVE SALES TAXES (net),"5,953,082","6,755,624","-802,542",-11.90%,"39,639,140","39,928,527","-289,388",-0.70%
TOTAL SALES TAXES (net),"81,881,878","78,553,979","3,327,898",4.20%,"603,834,329","556,394,110","47,440,219",8.50%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"146,990,538","174,818,269","-27,827,731",-15.90%,"1,067,056,348","1,072,049,060","-4,992,712",-0.50%
Individual Income,"83,435,509","79,099,580","4,335,928",5.50%,"837,241,114","836,736,177","504,937",0.10%
Corporate Franchise,"46,239,021","87,330,239","-41,091,218",-47.10%,"174,259,527","188,793,287","-14,533,759",-7.70%
U.B. Franchise,"17,316,008","8,388,450","8,927,559",106.40%,"55,555,706","46,519,596","9,036,110",19.40%
TOTAL INCOME AND FRANCHISE TAXES (net),"146,990,538","174,818,269","-27,827,731",-15.90%,"1,067,056,348","1,072,049,060","-4,992,712",-0.50%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"51,950,369","49,818,708","2,131,661",4.30%,"164,893,341","166,638,956","-1,745,615",-1.00%
Hospital Bed Tax,0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"4,903,948","3,927,039","976,909",24.90%,"8,683,095","6,612,090","2,071,005",31.30%
Transfer to Nursing facility Quality of Care Fund,"4,903,948","3,927,039","976,909",24.90%,"8,683,095","6,612,090","2,071,005",31.30%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"11,830,398","14,109,737","-2,279,339",-16.20%,"67,841,559","65,917,196","1,924,364",2.90%
Transfer to Ballpark Fund,"716,793","757,782","-40,990",-5.40%,"3,976,571","3,870,240","106,331",2.70%
Public Utilities (net),"11,113,605","13,351,954","-2,238,349",-16.80%,"63,864,988","62,046,956","1,818,032",2.90%
Ballpark Fee - Gross Receipts (gross),"230,793","326,577","-95,784",-29.30%,"3,170,330","2,717,778","452,552",16.70%
Transfer to Ballpark Fund,"230,793","326,577","-95,784",-29.30%,"3,170,330","2,717,778","452,552",16.70%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"30,633,224","26,895,758","3,737,466",13.90%,"54,298,554","55,879,307","-1,580,753",-2.80%
Transfer to Healthy DC Fund,"1,113,832","1,176,836","-63,004",-5.40%,"2,072,359","1,923,478","148,881",7.70%
Insurance Premiums (net),"29,519,392","25,718,922","3,800,470",14.80%,"52,226,195","53,955,829","-1,729,635",-3.20%
Toll Telecommunications  (gross),"4,299,931","4,509,701","-209,771",-4.70%,"24,174,403","28,795,595","-4,621,192",-16.00%
Transfer to Ballpark Fund,"171,690","341,446","-169,756",-49.70%,"1,163,681","1,458,084","-294,404",-20.20%
Toll Telecommunications  (net),"4,128,241","4,168,255","-40,015",-1.00%,"23,010,722","27,337,510","-4,326,788",-15.80%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"56,735,553","44,782,692","11,952,861",26.70%,"247,703,083","228,170,513","19,532,570",8.60%
Estate,"8,592,646","10,472,124","-1,879,477",-17.90%,"23,742,274","34,706,256","-10,963,982",-31.60%
Deed Recordation  (gross),"25,991,351","20,044,570","5,946,781",29.70%,"118,083,844","104,188,850","13,894,995",13.30%
Transfer to HPTF,618,"3,294,927","-3,294,309",-100.00%,"14,322,772","16,468,126","-2,145,353",-13.00%
Deed Recordation  (net),"25,990,733","16,749,643","9,241,090",55.20%,"103,761,072","87,720,724","16,040,348",18.30%
Deed Transfer  (gross),"21,729,203","13,808,958","7,920,245",57.40%,"88,998,649","80,298,749","8,699,900",10.80%
Transfer to HPTF,0,"2,323,305","-2,323,305",-100.00%,"10,864,547","12,444,783","-1,580,235",-12.70%
Deed Transfer  (net),"21,729,203","11,485,653","10,243,550",89.20%,"78,134,102","67,853,966","10,280,136",15.20%
Economic Interest (gross),"422,353","457,040","-34,687",-7.60%,"16,878,316","8,976,659","7,901,657",88.00%
Coop Recordation (net),"422,353","354,098","68,255",19.30%,"2,391,744","2,414,732","-22,989",-1.00%
Economic Interest (net),0,"102,942","-102,942",-100.00%,"14,442,347","6,486,312","7,956,036",122.70%
TOTAL OTHER TAXES (net),"56,734,936","39,164,460","17,570,475",44.90%,"222,471,538","199,181,990","23,289,549",11.70%
TOTAL TAX COLLECTIONS (gross),"1,271,890,045","1,090,123,108","181,766,937",16.70%,"3,167,771,612","2,884,622,955","283,148,658",9.80%
TOTAL TAX COLLECTIONS (net),"1,235,111,102","1,047,402,592","187,708,510",17.90%,"2,974,445,678","2,718,581,748","255,863,930",9.40%
LICENSES AND PERMITS,,,,,,,,
Business Licenses & Permits,"6,983,334","7,217,175","-233,841",-3.20%,"23,962,072","26,846,406","-2,884,334",-10.70%
Nonbusiness Licenses & Permits,"-1,837,618","3,229,246","-5,066,864",-156.90%,"12,995,057","15,996,696","-3,001,639",-18.80%
TOTAL LICENSES AND PERMITS,"5,145,716","10,446,422","-5,300,706",-50.70%,"36,957,129","42,843,101","-5,885,973",-13.70%
CHARGES FOR SERVICES - PUBLIC,,,,,,,,
Other Charges For Services,"8,452,855","10,235,005","-1,782,150",-17.40%,"37,429,440","36,290,561","1,138,878",3.10%
