"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Jan-16,Jan-15,AMOUNT,PERCENT,Jan-16,Jan-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"925,670","-2,149,694","3,075,364",-143.10%,"36,660,178","122,476,522","-85,816,343",-70.10%
Real Property Tax (gross),"-937,898","-4,441,757","3,503,859",-78.90%,"27,563,654","113,735,015","-86,171,361",-75.80%
Transfer to Pilot,0,0,0,0.00%,"998,538","773,396","225,142",29.10%
Transfer to TIF,"2,083","4,325","-2,242",-51.80%,"465,483","13,763","451,720",3282.00%
Real Property Tax (net),"-939,981","-4,446,082","3,506,101",-78.90%,"26,099,633","112,947,855","-86,848,222",-76.90%
Personal Property,-207,"274,539","-274,746",-100.10%,"2,119,873","2,194,637","-74,764",-3.40%
Public Spaces,"1,863,775","2,017,524","-153,749",-7.60%,"6,976,651","6,546,870","429,781",6.60%
TOTAL PROPERTY TAXES (net),"923,587","-2,154,019","3,077,606",-142.90%,"35,196,157","121,689,362","-86,493,205",-71.10%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"115,991,813","113,351,602","2,640,211",2.30%,"470,132,885","451,744,857","18,388,028",4.10%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"109,350,258","104,861,461","4,488,797",4.30%,"442,564,374","425,190,504","17,373,870",4.10%
Convention Center Transfer,"5,422,468","6,504,883","-1,082,414",-16.60%,"26,721,442","36,767,242","-10,045,800",-27.30%
Transfer to Ballpark Fund,"480,736","199,687","281,049",140.70%,"4,544,356","2,515,859","2,028,497",80.60%
Transfer to Healthy Schools,0,0,0,0.00%,0,0,0,0.00%
Transfer to Prepaid Wireless (UC0),"51,565","60,201","-8,636",-14.30%,"208,626","281,213","-72,587",-25.80%
Transfer to TIF,"1,011,900","558,274","453,626",81.30%,"9,139,792","7,901,156","1,238,636",15.70%
Transfer to WMATA,"5,609,942","10,246,147","-4,636,205",-45.20%,"25,323,588","22,612,153","2,711,435",12.00%
General Sales And Use Tax (net),"96,773,647","87,292,270","9,481,377",10.90%,"376,626,570","355,112,880","21,513,690",6.10%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
TOTAL GENERAL SALES AND USE TAXES (net),"96,773,647","87,292,270","9,481,377",10.90%,"376,626,570","355,112,880","21,513,690",6.10%
SELECTIVE SALES TAXES,,,,,,,,
Alcoholic Beverage,"649,411","661,196","-11,785",-1.80%,"2,366,868","2,118,448","248,420",11.70%
Cigarette,"2,372,563","3,721,992","-1,349,430",-36.30%,"10,285,508","8,723,836","1,561,671",17.90%
Motor Vehicle Fuel  (gross),0,"-1,644","1,644",-100.00%,0,"-1,644","1,644",-100.00%
Transfer to Highway Trust Fund,0,0,0,0.00%,0,0,0,0.00%
Motor Vehicle Fuel  (net),0,"-1,644","1,644",-100.00%,0,"-1,644","1,644",-100.00%
Motor Vehicle Excise Tax Gross Coll,"3,619,581","4,108,597","-489,016",-11.90%,"14,916,135","15,874,655","-958,520",-6.00%
TOTAL SELECTIVE SALES TAXES (net),"6,641,555","8,490,141","-1,848,586",-21.80%,"27,568,512","26,715,295","853,216",3.20%
TOTAL SALES TAXES (net),"103,415,202","95,782,411","7,632,791",8.00%,"404,195,082","381,828,175","22,366,906",5.90%
INCOME AND FRANCHISE TAXES,,,,,,,,
TOTAL INCOME AND FRANCHISE TAXES (gross),"281,624,705","263,462,236","18,162,468",6.90%,"805,408,325","755,769,829","49,638,496",6.60%
Individual Income,"265,693,467","246,893,627","18,799,840",7.60%,"678,791,084","640,011,709","38,779,376",6.10%
Corporate Franchise,"9,003,129","11,066,243","-2,063,115",-18.60%,"90,413,350","72,720,895","17,692,455",24.30%
U.B. Franchise,"6,928,109","5,502,366","1,425,742",25.90%,"36,203,890","43,037,225","-6,833,335",-15.90%
TOTAL INCOME AND FRANCHISE TAXES (net),"281,624,705","263,462,236","18,162,468",6.90%,"805,408,325","755,769,829","49,638,496",6.60%
GROSS RECEIPTS TAXES,,,,,,,,
TOTAL GROSS RECEIPTS TAXES (gross),"15,647,867","19,862,438","-4,214,571",-21.20%,"67,231,620","74,680,852","-7,449,232",-10.00%
Hospital Bed Tax (gross),0,0,0,0.00%,0,"159,715","-159,715",-100.00%
Hospital Bed Tax (net),0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (gross),0,0,0,0.00%,0,0,0,0.00%
Transfer to Steve Sellows,0,0,0,0.00%,0,0,0,0.00%
ICF-MR Assesment (net),0,0,0,0.00%,0,0,0,0.00%
Healthcare Provider Tax (gross),"-5,025,503","1,767,903","-6,793,406",-384.30%,"1,496,329","6,594,349","-5,098,020",-77.30%
Transfer to Nursing facility Quality of Care Fund,"-5,025,503","1,767,903","-6,793,406",-384.30%,"1,496,329","6,594,349","-5,098,020",-77.30%
Healthcare Provider Tax (net),0,0,0,0.00%,0,0,0,0.00%
Public Utilities (gross),"10,410,668","11,873,553","-1,462,885",-12.30%,"39,101,559","45,491,308","-6,389,748",-14.00%
Transfer to Ballpark Fund,0,"1,279,927","-1,279,927",-100.00%,"1,935,801","2,651,961","-716,161",-27.00%
Public Utilities (net),"10,410,668","10,593,626","-182,958",-1.70%,"37,165,759","42,839,346","-5,673,587",-13.20%
Ballpark Fee - Gross Receipts (gross),"135,211","503,845","-368,635",-73.20%,"1,832,846","3,653,525","-1,820,679",-49.80%
Transfer to Ballpark Fund,"135,211","503,845","-368,635",-73.20%,"1,832,846","3,653,525","-1,820,679",-49.80%
Ballpark Fee - Gross Reciepts (net),0,0,0,0.00%,0,0,0,0.00%
Insurance Premiums (gross),"1,520,382","1,257,128","263,254",20.90%,"1,636,072","1,301,019","335,053",25.80%
Transfer to Healthy DC Fund,0,"37,500","-37,500",-100.00%,"14,375","37,500","-23,125",-61.70%
Insurance Premiums (net),"1,520,382","1,219,628","300,754",24.70%,"1,621,697","1,263,519","358,178",28.30%
Toll Telecommunications  (gross),"1,967,418","4,460,008","-2,492,591",-55.90%,"16,525,123","17,480,938","-955,815",-5.50%
Transfer to Ballpark Fund,0,"382,452","-382,452",-100.00%,"877,349","860,323","17,025",2.00%
Toll Telecommunications  (net),"1,967,418","4,077,557","-2,110,139",-51.80%,"15,647,774","16,620,614","-972,840",-5.90%
TOTAL GROSS RECEIPTS TAXES (net),,,,0.00%,,,,0.00%
OTHER TAXES,,,,,,,,
TOTAL OTHER TAXES (gross),"16,865,649","33,996,539","-17,130,891",-50.40%,"146,000,211","192,955,163","-46,954,952",-24.30%
Estate,"1,766,645","-350,494","2,117,139",-604.00%,"15,417,035","9,307,535","6,109,500",65.60%
Deed Recordation  (gross),"8,446,141","17,775,728","-9,329,586",-52.50%,"70,624,346","96,052,990","-25,428,644",-26.50%
