"TAXCOLLECTIONS","MONTHLYCOLLECTIONS",,"MONTHLYDIFFERENCE",,"CUMULATIVECOLLECTIONS",,"CUMULATIVEDIFFERENCE",
,Apr-16,Apr-15,AMOUNT,PERCENT,Apr-16,Apr-15,AMOUNT,PERCENT
PROPERTY TAXES,,,,,,,,
TOTAL PROPERTY TAXES (gross),"435,248,315","477,557,623","-42,309,308",-8.90%,"1,191,355,983","1,201,976,823","-10,620,840",-0.90%
Real Property Tax (gross),"433,011,382","475,677,560","-42,666,178",-9.00%,"1,177,519,736","1,189,604,668","-12,084,932",-1.00%
Transfer to Pilot,"1,516,059","5,920,846","-4,404,787",-74.40%,"8,981,546","8,980,386","1,160",0.00%
Transfer to TIF,"6,550,151","6,777,811","-227,660",-3.40%,"7,576,039","6,791,574","784,464",11.60%
Real Property Tax (net),"424,945,172","462,978,904","-38,033,732",-8.20%,"1,160,962,151","1,173,832,707","-12,870,557",-1.10%
Personal Property,"123,574","-265,585","389,159",-146.50%,"2,725,852","1,982,619","743,233",37.50%
Public Spaces,"2,113,359","2,145,648","-32,289",-1.50%,"11,110,396","10,389,537","720,859",6.90%
TOTAL PROPERTY TAXES (net),"427,182,105","464,858,966","-37,676,861",-8.10%,"1,174,798,398","1,186,204,863","-11,406,465",-1.00%
SALES TAXES,,,,,,,,
TOTAL SALES TAXES (gross),"133,746,367","121,450,903","12,295,464",10.10%,"795,403,125","750,355,284","45,047,842",6.00%
GENERAL SALES AND USE TAXES,,,,,,,,
General Sales And Use Tax (gross),"127,047,405","113,340,953","13,706,452",12.10%,"748,775,636","703,711,779","45,063,857",6.40%
Convention Center Transfer,"11,606,645","10,688,568","918,078",8.60%,"53,629,333","60,945,425","-7,316,092",-12.00%
Transfer to Ballpark Fund,"15,420","868,455","-853,036",-98.20%,"6,595,680","5,622,849","972,831",17.30%
Transfer to Healthy DC Fund,0,0,0,0.00%,0,0,0,0.00%
Transfer to Healthy Schools,0,"4,266,000","-4,266,000",-100.00%,0,"4,266,000","-4,266,000",-100.00%
Transfer to Prepaid Wireless (UC0),"51,976","56,354","-4,378",-7.80%,"355,246","432,992","-77,745",-18.00%
Transfer to TIF,"1,780,667","4,991,904","-3,211,237",-64.30%,"16,632,465","17,383,124","-750,659",-4.30%
Transfer to WMATA,"6,219,362","4,811,541","1,407,821",29.30%,"42,287,994","31,423,846","10,864,148",34.60%
General Sales And Use Tax (net),"107,373,335","87,658,130","19,715,204",22.50%,"623,838,917","583,637,544","40,201,373",6.90%
Plastic Bag Use Fee,0,0,0,0.00%,0,0,0,0.00%
