"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted","Internal RevenueCode Section",FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
Federal Exclusions,,,,,,,,
"",,,,,,,,
1,Capital gains on assets transferred at death,Economic development,1921,"1001, 1014, 1023, 1040,1221, and 1222","$17,702","$18,186","$18,939","$19,800"
2,Capital gains on assets transferred as a gift,Economic development,1921,1015,"$2,725","$2,993","$3,282","$3,242"
3,"Cash accounting, other than agriculture",Economic development,1916,446 and 448,"$2,272","$2,272","$2,375","$2,375"
4,Credit union income,Economic development,1937,"501(c)(14) and 12 USC1768","$2,440","$2,542","$2,745","$2,949"
5,"Distribution from redemption of stock topay taxes imposed at death",Economic development,1950,303,too small,too small,too small,too small
6,Gain on like-kind exchanges,Economic development,1921,1031,"$17,513","$17,927","$18,440","$19,164"
7,Imputed interest,Economic development,1964,"163(e), 483, 1274, and1274A",$387,$452,$452,$452
8,"Interest on small-issue qualified private-activity bonds",Economic development,1968,"103, 141, 144, and 146",$515,$515,$515,$515
9,"Magazine, paperback, and record returns",Economic development,1978,458,too small,too small,too small,too small
10,Small business stock gains,Economic development,1993,1202,$905,$905,$996,$996
11,Discharge of certain student loan debt,Education,1984,"108(f), 20 USC1087ee(a)(5) and 42 USC2541-1(g)(3)",$192,$192,$192,$192
12,"Earnings of Coverdell education savingsaccounts",Education,1998,530,$96,$96,$96,$96
13,Earnings of qualified tuition programs,Education,1997,529,$865,"$1,154","$1,346","$1,442"
14,Employer-provided education assistance,Education,1978,127,$915,$915,$991,$991
15,Employer-provided tuition reduction,Education,1984,117(d),$229,$229,$229,$229
16,Interest on education savings bonds,Education,1988,135,too small,too small,too small,too small
17,"Interest on state and local private-activitybonds issued to finance educationfacilities",Education,1968,"103, 141, 142(k), 145, 146,and 501(c)(3)","$4,641","$4,895","$5,156","$5,410"
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted","Internal RevenueCode Section",FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
Federal Exclusions (cont.),,,,,,,,
"",,,,,,,,
18,"Interest on state and local private-activitystudent loan bonds",Education,1965,"103, 141, 144(b), and 146",$776,$776,$903,$903
19,Scholarship and fellowship income,Education,1954,117,"$2,788","$2,884","$3,076","$3,269"
20,Cafeteria plan benefits,Employment,1974,125,"$27,524","$28,668","$30,041","$30,650"
21,Employee awards,Employment,1986,74(c) and 274(j),$229,$229,$229,$305
22,Employee stock ownership plans,Employment,1974,"401(a)(28), 404(a)(9),404(k), 415(c)(6), 1042,4975(e)(7), 4978, and4979A","$1,283","$1,363","$1,363","$1,444"
23,"Employer-paid meals and lodging (otherthan military)",Employment,1918,119 and 132(e)(2),"$1,601","$1,677","$1,754","$1,830"
24,Housing allowance for ministers,Employment,1921,107 and 265,$610,$610,$610,$610
25,Miscellaneous fringe benefits,Employment,1984,117(d) and 132,"$5,871","$5,947","$6,100","$6,252"
26,"Spread of acquisition of stock underincentive stock option plans and employeestock purchase plans",Employment,1981,422 and 423,($638),($720),($639),($639)
27,"Voluntary employees' beneficiaryassociation income",Employment,1928,"419, 419A, 501(a),501(c)(9), and 4976","$2,440","$2,516","$2,516","$2,592"
28,"Interest on state and local private-activitybonds issued to support energy facilities",Energy,1980,"103, 141, 142(f), and 146",too small,too small,too small,too small
29,Accrued interest on savings bonds,General fiscal assistance,1951,454(c),$839,$839,$839,$839
30,"Allocation of interest expenses attributableto tax-exempt bond interest by financialinstitutions (bonds interest for privatenonprofit educational facilities",General fiscal assistance,2009,"141, 265(a), 265(b), and291(e)",$508,$508,$508,$508
31,"Interest on public-purpose state and localbonds",General fiscal assistance,1913,"103, 141, and 146","$31,412","$32,291","$34,548","$35,513"
32,"Employer contributions for medicalinsurance premiums and medical care",Health,1918,"105, 106, and 125","$108,174","$113,891","$120,059","$127,431"
33,"Interest on state and local private-activitybonds issued to support non-profithospital construction",Health,1913,"103, 141, 145(b), 145(c),146, and 501(c)(3)","$2,194","$2,367","$2,367","$2,454"
""
""
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted","Internal RevenueCode Section",FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
Federal Exclusions (cont.),,,,,,,,
"",,,,,,,,
34,"Medical care and TriCare medicalinsurance for military dependents, retirees,retiree dependents, and veterans",Health,1986,112 and 134,"$1,136","$1,178","$1,220","$1,220"
35,"Medicare Part A -- hospital insurancebenefits",Health,1970,N.A./administrative,"$15,306","$16,059","$17,063","$17,899"
36,"Medicare Part B -- supplementary medicalbenefits",Health,1970,N.A./administrative,"$10,790","$11,375","$11,961","$12,588"
37,"Medicare Part D -- prescription drugbenefits",Health,2003,N.A./administrative,"$3,764","$3,847","$3,889","$3,973"
38,Capital gain on sale of principal residence,Housing,1997,121,"$34,683","$36,596","$38,510","$40,662"
39,"Interest on state and local private-activitybonds issued to finance housing",Housing,1980,"103, 141, 142, 143, and146","$1,143","$1,229","$1,316","$1,316"
40,"Compensatory damages for physical injuryor sickness",Income security,1918,104(a)(2) - 104(a)(5),"$1,279","$1,279","$1,279","$1,279"
41,Disaster mitigation payments,Income security,2005,139,too small,too small,too small,too small
42,"Employer contributions for premiums onaccident and disability insurance",Income security,1954,105 and 106,"$3,159","$3,310","$3,460","$3,611"
43,"Employer contributions for premiums ongroup-term life insurance",Income security,1920,79,"$2,407","$2,482","$2,482","$2,558"
44,"Employer pension contributions andearnings plans",Income security,1921,"401-407, 410-418E, and457","$112,386","$129,763","$152,481","$171,212"
45,"Income of trusts to finance supplementalunemployment benefits",Income security,1960,501(17)(A),$15,$23,$30,$30
46,"Investment income on life insurance andannuity contracts",Income security,1913,"72, 101, 7702,       and7702A","$38,095","$38,813","$39,896","$40,853"
47,Public assistance cash benefits,Income security,1933,N.A./administrative,"$3,684","$3,772","$3,684","$3,684"
48,"Traditional and Roth IRA earnings anddistributions",Income security,1997,"219, 408 and 408A","$7,803","$8,427","$9,051","$9,715"
49,"Social Security and Railroad Retirementbenefits",Income security,1938,86,"$12,623","$13,356","$14,089","$14,918"
50,"Survivor annuities paid to families ofpublic safety officers",Income security,1997,101(h),too small,too small,too small,too small
"",,,,,Revenue Forgone ($ in thousands),,,
"#",Name of Tax Expenditure,Program Area,"YearEnacted","Internal RevenueCode Section",FY 2016,FY 2017,FY 2018,FY 2019
"",,,,,,,,
Federal Exclusions (cont.),,,,,,,,
"",,,,,,,,
51,Workers' compensation benefits,Income security,1918,104(a)(1),"$3,761","$3,836","$3,912","$3,987"
52,"Active income of controlled foreigncorporations",International commerce,1909,"11, 882, and 951-964","$107,509","$112,544","$116,592","$121,627"
53,"Allowances for federal employees workingabroad",International commerce,1943,912,"$7,854","$8,211","$8,211","$8,568"
54,Income earned abroad by U.S. citizens,International commerce,1926,911,"$5,855","$6,294","$6,660","$7,026"
55,"Inventory property sales source ruleexception",International commerce,1921,"861, 862, 863, and 865","$1,678","$1,777","$1,777","$1,777"
56,"Benefits, allowances, and certain pay forarmed forces personnel",National defense,1925,112 and 134,"$2,522","$2,690","$2,858","$2,942"
57,Combat pay,National defense,1918,112,$588,$630,$672,$672
58,Military disability benefits,National defense,1942,"104(a)(4), 104(a)(5)     and104(b)",$126,$126,$126,$126
59,"Contributions in aid of construction forwater and sewer utilities",Natural resources and environment,1996,118(c) and 118(d),too small,too small,too small,too small
60,"Earnings of certain environmentalsettlement funds",Natural resources and environment,2005,468B,too small,too small,too small,too small
61,"Energy conservation subsidies providedby public utilities",Natural resources and environment,1992,136,too small,too small,too small,too small
62,"Interest on state and local private-activitybonds issued to finance water, sewer, andhazardous-waste facilities",Natural resources and environment,1968,"103, 141, 142, and 146",$515,$515,$642,$769
63,Employer-provided adoption assistance,Natural resources and environment,1996,23 and 137,$305,$305,$381,$381
64,Employer-provided dependent care,Social policy,1981,129,"$3,660","$3,660","$3,660","$3,736"
65,Foster care payments,Social policy,1982,131,$451,$451,$451,$451
66,"Employer-provided transportationassistance",Transportation,1992,132(f),"$3,965","$4,193","$4,346","$4,498"
