"",,January 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,509","40,878","2,631",6.0
2,"44,158","42,656","1,502",3.4
3,"48,715","47,846",869,1.8
4,"39,203","36,961","2,243",5.7
5,"32,149","29,040","3,109",9.7
6,"38,403","35,683","2,720",7.1
7,"30,923","27,234","3,689",11.9
8,"26,166","21,396","4,770",18.2
"",,February 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,904","41,187","2,717",6.2
2,"44,529","42,978","1,551",3.5
3,"49,105","48,208",897,1.8
4,"39,556","37,240","2,316",5.9
5,"32,470","29,259","3,211",9.9
6,"38,762","35,953","2,809",7.2
7,"31,249","27,440","3,810",12.2
8,"26,483","21,557","4,925",18.6
"",,March 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,795","41,319","2,476",5.7
2,"44,529","43,115","1,414",3.2
3,"49,180","48,362",818,1.7
4,"39,470","37,359","2,111",5.3
5,"32,280","29,353","2,927",9.1
6,"38,628","36,068","2,560",6.6
7,"31,000","27,527","3,473",11.2
8,"26,116","21,626","4,490",17.2
"",,April 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,804","41,551","2,253",5.1
2,"44,644","43,358","1,286",2.9
3,"49,378","48,634",744,1.5
4,"39,489","37,569","1,920",4.9
5,"32,180","29,518","2,662",8.3
6,"38,600","36,271","2,329",6.0
7,"30,841","27,682","3,159",10.2
8,"25,832","21,748","4,084",15.8
"",,May 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,528","41,113","2,415",5.5
2,"44,279","42,901","1,379",3.1
3,"48,918","48,121",798,1.6
4,"39,232","37,173","2,059",5.2
5,"32,061","29,207","2,855",8.9
6,"38,385","35,888","2,497",6.5
7,"30,777","27,390","3,387",11.0
8,"25,897","21,518","4,379",16.9
"",,June 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"44,393","41,597","2,796",6.3
2,"45,002","43,405","1,597",3.5
3,"49,610","48,687",923,1.9
4,"39,994","37,610","2,384",6.0
5,"32,855","29,550","3,305",10.1
6,"39,202","36,310","2,891",7.4
7,"31,634","27,712","3,922",12.4
8,"26,842","21,772","5,070",18.9
"",,July 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"45,173","42,489 2,684",,5.9
2,"45,869","44,336 1,532",,3.3
3,"50,618","49,732 886",,1.8
4,"40,705","38,417 2,288",,5.6
5,"33,356","30,184 3,172",,9.5
6,"39,864","37,089 2,775",,7.0
7,"32,071","28,307 3,764",,11.7
8,"27,105","22,239 4,866",,18.0
"",,August 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"44,225","41,660 2,565",,5.8
2,"44,936","43,471 1,465",,3.3
3,"49,608","48,761 847",,1.7
4,"39,854","37,667 2,187",,5.5
5,"32,627","29,595 3,032",,9.3
6,"39,018","36,366 2,652",,6.8
7,"31,352","27,754 3,598",,11.5
8,"26,456","21,805 4,651",,17.6
"",,September 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"43,596","41,238 2,358",,5.4
2,"44,377","43,031 1,346",,3.0
3,"49,046","48,267 779",,1.6
4,"39,296","37,286 2,010",,5.1
5,"32,082","29,295 2,787",,8.7
6,"38,435","35,997 2,438",,6.3
7,"30,780","27,473 3,307",,10.7
8,"25,859","21,584 4,275",,16.5
"",,October 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,308","40,979","2,330",5.4
2,"44,090","42,760","1,330",3.0
3,"48,733","47,964",769,1.6
4,"39,037","37,052","1,986",5.1
5,"31,864","29,111","2,753",8.6
6,"38,180","35,771","2,409",6.3
7,"30,568","27,301","3,267",10.7
8,"25,672","21,448","4,224",16.5
"",,November 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,276","40,824","2,452",5.7
2,"43,999","42,599","1,400",3.2
3,"48,593","47,783",810,1.7
4,"39,002","36,912","2,090",5.4
5,"31,899","29,001","2,897",9.1
6,"38,171","35,636","2,535",6.6
7,"30,636","27,198","3,438",11.2
8,"25,812","21,367","4,445",17.2
"",,December 2002,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,312","40,792","2,521",5.8
2,"44,004","42,565","1,439",3.3
3,"48,577","47,745",832,1.7
4,"39,031","36,883","2,149",5.5
5,"31,957","28,978","2,979",9.3
6,"38,214","35,608","2,606",6.8
7,"30,711","27,176","3,535",11.5
8,"25,920","21,350","4,570",17.6
