"",,January 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"53,813","50,243","3,570",6.6
2,"54,072","51,990","2,082",3.9
3,"47,694","45,969","1,725",3.6
4,"42,967","38,358","4,609",10.7
5,"39,648","33,595","6,053",15.3
6,"49,093","45,509","3,584",7.3
7,"33,442","26,901","6,541",19.6
8,"27,649","21,216","6,433",23.3
"",,February 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"54,252","50,633","3,619",6.7
2,"54,505","52,395","2,110",3.9
3,"48,075","46,326","1,749",3.6
4,"43,328","38,656","4,672",10.8
5,"39,992","33,856","6,136",15.3
6,"49,496","45,863","3,633",7.3
7,"33,741","27,110","6,631",19.7
8,"27,901","21,380","6,521",23.4
"",,March 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"53,984","50,391","3,593",6.7
2,"54,239","52,144","2,095",3.9
3,"47,842","46,105","1,737",3.6
4,"43,110","38,471","4,639",10.8
5,"39,786","33,694","6,092",15.3
6,"49,250","45,643","3,607",7.3
7,"33,564","26,980","6,584",19.6
8,"27,753","21,278","6,475",23.3
"",,April 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"53,936","50,475","3,461",6.4
2,"54,249","52,231","2,018",3.7
3,"47,855","46,182","1,673",3.5
4,"43,004","38,535","4,469",10.4
5,"39,620","33,751","5,869",14.8
6,"49,194","45,719","3,475",7.1
7,"33,368","27,025","6,343",19.0
8,"27,552","21,314","6,238",22.6
"",,May 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"53,579","49,950","3,629",6.8
2,"53,803","51,687","2,116",3.9
3,"47,455","45,701","1,754",3.7
4,"42,820","38,134","4,686",10.9
5,"39,552","33,399","6,153",15.6
6,"48,886","45,243","3,643",7.5
7,"33,394","26,744","6,650",19.9
8,"27,632","21,092","6,540",23.7
"",,June 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"54,455","50,494","3,961",7.3
2,"54,560","52,251","2,309",4.2
3,"48,113","46,199","1,914",4.0
4,"43,664","38,550","5,114",11.7
5,"40,479","33,763","6,716",16.6
6,"49,713","45,737","3,976",8.0
7,"34,293","27,035","7,258",21.2
8,"28,459","21,322","7,137",25.1
"",,July 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"55,151","51,199 3,952",,7.2
2,"55,284","52,980 2,304",,4.2
3,"48,754","46,844 1,910",,3.9
4,"44,191","39,088 5,103",,11.5
5,"40,936","34,235 6,701",,16.4
6,"50,343","46,375 3,968",,7.9
7,"34,655","27,413 7,242",,20.9
8,"28,741","21,619 7,122",,24.8
"",,August 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"54,208","50,407 3,801",,7.0
2,"54,378","52,161 2,217",,4.1
3,"47,957","46,120 1,837",,3.8
4,"43,392","38,484 4,908",,11.3
5,"40,151","33,705 6,446",,16.1
6,"49,474","45,658 3,816",,7.7
7,"33,955","26,989 6,966",,20.5
8,"28,136","21,285 6,851",,24.3
"",,September 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"54,024","50,282 3,742",,6.9
2,"54,213","52,031 2,182",,4.0
3,"47,813","46,005 1,808",,3.8
4,"43,219","38,388 4,831",,11.2
5,"39,966","33,622 6,344",,15.9
6,"49,300","45,544 3,756",,7.6
7,"33,778","26,922 6,856",,20.3
8,"27,975","21,232 6,743",,24.1
"",,October 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"53,985","50,327","3,658",6.8
2,"54,211","52,078","2,133",3.9
3,"47,814","46,046","1,768",3.7
4,"43,146","38,423","4,723",10.9
5,"39,855","33,652","6,203",15.6
6,"49,258","45,585","3,673",7.5
7,"33,649","26,946","6,703",19.9
8,"27,843","21,251","6,592",23.7
"",,November 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"54,078","50,481","3,597",6.7
2,"54,334","52,237","2,097",3.9
3,"47,925","46,187","1,738",3.6
4,"43,184","38,540","4,644",10.8
5,"39,854","33,755","6,099",15.3
6,"49,336","45,725","3,611",7.3
7,"33,620","27,029","6,591",19.6
8,"27,798","21,316","6,482",23.3
"",,December 2011,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"54,205","50,700","3,505",6.5
2,"54,508","52,464","2,044",3.7
3,"48,082","46,388","1,694",3.5
4,"43,232","38,707","4,525",10.5
5,"39,844","33,901","5,943",14.9
6,"49,442","45,923","3,519",7.1
7,"33,569","27,146","6,423",19.1
8,"27,725","21,409","6,316",22.8
