"",,January 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,229","40,679","2,550",5.9
2,"43,904","42,448","1,456",3.3
3,"48,455","47,613",842,1.7
4,"38,954","36,781","2,173",5.6
5,"31,912","28,898","3,013",9.4
6,"38,146","35,510","2,636",6.9
7,"30,677","27,101","3,576",11.7
8,"25,914","21,291","4,623",17.8
"",,February 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,841","41,058","2,783",6.3
2,"44,432","42,843","1,589",3.6
3,"48,975","48,056",919,1.9
4,"39,495","37,123","2,372",6.0
5,"32,456","29,167","3,289",10.1
6,"38,717","35,840","2,877",7.4
7,"31,256","27,353","3,902",12.5
8,"26,535","21,490","5,045",19.0
"",,March 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,857","41,378","2,480",5.7
2,"44,592","43,177","1,416",3.2
3,"49,249","48,431",819,1.7
4,"39,526","37,412","2,114",5.3
5,"32,325","29,394","2,931",9.1
6,"38,683","36,119","2,564",6.6
7,"31,044","27,566","3,477",11.2
8,"26,153","21,657","4,496",17.2
"",,April 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,952","41,391","2,562",5.8
2,"44,653","43,190","1,462",3.3
3,"49,292","48,446",846,1.7
4,"39,608","37,424","2,183",5.5
5,"32,431","29,404","3,027",9.3
6,"38,779","36,131","2,648",6.8
7,"31,167","27,575","3,592",11.5
8,"26,308","21,664","4,644",17.7
"",,May 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,632","41,292","2,340",5.4
2,"44,423","43,087","1,336",3.0
3,"49,103","48,330",773,1.6
4,"39,329","37,335","1,995",5.1
5,"32,099","29,333","2,766",8.6
6,"38,464","36,044","2,419",6.3
7,"30,791","27,509","3,282",10.7
8,"25,855","21,612","4,243",16.4
"",,June 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"44,952","41,871","3,082",6.9
2,"45,450","43,691","1,759",3.9
3,"50,025","49,008","1,018",2.0
4,"40,485","37,858","2,627",6.5
5,"33,387","29,745","3,642",10.9
6,"39,736","36,550","3,186",8.0
7,"32,217","27,895","4,322",13.4
8,"27,502","21,915","5,587",20.3
"",,July 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"45,325","42,517 2,808",,6.2
2,"45,969","44,366 1,603",,3.5
3,"50,692","49,764 927",,1.8
4,"40,836","38,443 2,394",,5.9
5,"33,523","30,204 3,319",,9.9
6,"40,017","37,114 2,903",,7.3
7,"32,264","28,326 3,938",,12.2
8,"27,345","22,253 5,091",,18.6
"",,August 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"44,570","41,602 2,968",,6.7
2,"45,105","43,411 1,695",,3.8
3,"49,673","48,693 980",,2.0
4,"40,145","37,615 2,530",,6.3
5,"33,062","29,554 3,508",,10.6
6,"39,384","36,315 3,069",,7.8
7,"31,879","27,716 4,163",,13.1
8,"27,156","21,774 5,382",,19.8
"",,September 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"43,608","41,338 2,270",,5.2
2,"44,431","43,135 1,296",,2.9
3,"49,134","48,384 750",,1.5
4,"39,311","37,377 1,935",,4.9
5,"32,049","29,366 2,683",,8.4
6,"38,432","36,085 2,347",,6.1
7,"30,723","27,540 3,183",,10.4
8,"25,752","21,636 4,115",,16.0
"",,October 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"44,243","41,539","2,704",6.1
2,"44,889","43,345","1,544",3.4
3,"49,513","48,620",893,1.8
4,"39,863","37,558","2,305",5.8
5,"32,705","29,509","3,196",9.8
6,"39,056","36,260","2,796",7.2
7,"31,466","27,674","3,792",12.1
8,"26,644","21,742","4,903",18.4
"",,November 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,924","41,321","2,603",5.9
2,"44,603","43,117","1,486",3.3
3,"49,224","48,364",859,1.7
4,"39,580","37,361","2,219",5.6
5,"32,430","29,354","3,076",9.5
6,"38,761","36,070","2,691",6.9
7,"31,179","27,529","3,650",11.7
8,"26,346","21,627","4,719",17.9
"",,December 2003,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"43,382","40,941","2,441",5.6
2,"44,115","42,721","1,394",3.2
3,"48,726","47,919",806,1.7
4,"39,099","37,017","2,081",5.3
5,"31,970","29,084","2,886",9.0
6,"38,262","35,738","2,524",6.6
7,"30,699","27,276","3,424",11.2
8,"25,855","21,428","4,427",17.1
