"",,January 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"54,499","50,831","3,668",6.7
2,"54,740","52,600","2,140",3.9
3,"48,281","46,508","1,773",3.7
4,"43,542","38,807","4,735",10.9
5,"40,208","33,989","6,219",15.5
6,"49,724","46,041","3,683",7.4
7,"33,937","27,216","6,721",19.8
8,"28,075","21,465","6,610",23.5
"",,February 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"55,136","51,496","3,640",6.6
2,"55,411","53,288","2,123",3.8
3,"48,875","47,116","1,759",3.6
4,"44,012","39,314","4,698",10.7
5,"40,603","34,433","6,170",15.2
6,"50,297","46,643","3,654",7.3
7,"34,241","27,572","6,669",19.5
8,"28,303","21,745","6,558",23.2
"",,March 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"55,285","51,835","3,450",6.2
2,"55,651","53,639","2,012",3.6
3,"49,094","47,427","1,667",3.4
4,"44,026","39,573","4,453",10.1
5,"40,508","34,660","5,848",14.4
6,"50,413","46,950","3,463",6.9
7,"34,075","27,754","6,321",18.6
8,"28,104","21,888","6,216",22.1
"",,April 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"55,441","52,269","3,172",5.7
2,"55,938","54,088","1,850",3.3
3,"49,357","47,824","1,533",3.1
4,"43,999","39,904","4,095",9.3
5,"40,327","34,950","5,377",13.3
6,"50,527","47,343","3,184",6.3
7,"33,798","27,986","5,812",17.2
8,"27,787","22,072","5,715",20.6
"",,May 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"55,829","52,625","3,204",5.7
2,"56,326","54,457","1,869",3.3
3,"49,698","48,150","1,548",3.1
4,"44,312","40,176","4,136",9.3
5,"40,621","35,189","5,432",13.4
6,"50,883","47,666","3,217",6.3
7,"34,048","28,177","5,871",17.2
8,"27,995","22,222","5,773",20.6
"",,June 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"57,033","53,557","3,476",6.1
2,"57,449","55,421","2,028",3.5
3,"50,683","49,003","1,680",3.3
4,"45,376","40,888","4,488",9.9
5,"41,705","35,812","5,893",14.1
6,"52,000","48,510","3,490",6.7
7,"35,046","28,676","6,370",18.2
8,"28,880","22,616","6,264",21.7
"",,July 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"57,703","54,241 3,462",,6.0
2,"58,148","56,129 2,019",,3.5
3,"51,301","49,628 1,673",,3.3
4,"45,880","41,410 4,470",,9.7
5,"42,139","36,269 5,870",,13.9
6,"52,606","49,130 3,476",,6.6
7,"35,386","29,042 6,344",,17.9
8,"29,144","22,905 6,239",,21.4
"",,August 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"57,032","53,616 3,416",,6.0
2,"57,474","55,482 1,992",,3.5
3,"50,706","49,056 1,650",,3.3
4,"45,342","40,933 4,409",,9.7
5,"41,641","35,851 5,790",,13.9
6,"51,992","48,563 3,429",,6.6
7,"34,965","28,707 6,258",,17.9
8,"28,795","22,640 6,155",,21.4
"",,September 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"57,111","53,727 3,384",,5.9
2,"57,570","55,596 1,974",,3.4
3,"50,792","49,157 1,635",,3.2
4,"45,386","41,017 4,369",,9.6
5,"41,662","35,925 5,737",,13.8
6,"52,061","48,664 3,397",,6.5
7,"34,967","28,766 6,201",,17.7
8,"28,785","22,687 6,098",,21.2
"",,October 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"57,797","54,442","3,355",5.8
2,"58,293","56,336","1,957",3.4
3,"51,433","49,812","1,621",3.2
4,"45,894","41,563","4,331",9.4
5,"42,091","36,403","5,688",13.5
6,"52,679","49,311","3,368",6.4
7,"35,297","29,149","6,148",17.4
8,"29,035","22,989","6,046",20.8
"",,November 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"57,961","54,631","3,330",5.7
2,"58,475","56,533","1,942",3.3
3,"51,594","49,985","1,609",3.1
4,"46,007","41,708","4,299",9.3
5,"42,176","36,530","5,646",13.4
6,"52,826","49,483","3,343",6.3
7,"35,353","29,251","6,102",17.3
8,"29,070","23,069","6,001",20.6
"",,December 2012,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"57,928","54,616","3,312",5.7
2,"58,449","56,517","1,932",3.3
3,"51,571","49,971","1,600",3.1
4,"45,972","41,696","4,276",9.3
5,"42,135","36,520","5,615",13.3
6,"52,794","49,469","3,325",6.3
7,"35,312","29,243","6,069",17.2
8,"29,031","23,063","5,968",20.6
