"",,January 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"47,650","44,120","3,530",7.4
2,"48,054","46,039","2,015",4.2
3,"52,807","51,641","1,166",2.2
4,"42,901","39,892","3,009",7.0
5,"35,515","31,343","4,172",11.7
6,"42,163","38,513","3,650",8.7
7,"34,344","29,394","4,950",14.4
8,"29,493","23,093","6,400",21.7
"",,February 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"47,876","44,199","3,677",7.7
2,"48,220","46,121","2,099",4.4
3,"52,947","51,733","1,214",2.3
4,"43,098","39,964","3,134",7.3
5,"35,744","31,399","4,345",12.2
6,"42,384","38,582","3,801",9.0
7,"34,603","29,446","5,156",14.9
8,"29,800","23,134","6,666",22.4
"",,March 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"47,314","43,838","3,476",7.3
2,"47,728","45,744","1,985",4.2
3,"52,458","51,310","1,148",2.2
4,"42,600","39,637","2,963",7.0
5,"35,251","31,142","4,108",11.7
6,"41,861","38,267","3,594",8.6
7,"34,081","29,206","4,875",14.3
8,"29,247","22,945","6,303",21.5
"",,April 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"47,026","43,686","3,340",7.1
2,"47,492","45,585","1,907",4.0
3,"52,235","51,132","1,103",2.1
4,"42,346","39,499","2,847",6.7
5,"34,982","31,034","3,948",11.3
6,"41,588","38,134","3,454",8.3
7,"33,789","29,104","4,685",13.9
8,"28,921","22,865","6,056",20.9
"",,May 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"47,477","43,596","3,881",8.2
2,"47,707","45,491","2,215",4.6
3,"52,308","51,027","1,281",2.4
4,"42,726","39,418","3,308",7.7
5,"35,557","30,970","4,586",12.9
6,"42,068","38,056","4,012",9.5
7,"34,486","29,044","5,442",15.8
8,"29,854","22,818","7,036",23.6
"",,June 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"48,325","44,078","4,248",8.8
2,"48,419","45,994","2,425",5.0
3,"52,993","51,591","1,403",2.6
4,"43,474","39,854","3,621",8.3
5,"36,333","31,313","5,020",13.8
6,"42,868","38,476","4,392",10.2
7,"35,322","29,365","5,957",16.9
8,"30,771","23,070","7,701",25.0
"",,July 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"49,058","45,073 3,985",,8.1
2,"49,307","47,033 2,275",,4.6
3,"54,072","52,756 1,316",,2.4
4,"44,150","40,753 3,396",,7.7
5,"36,729","32,020 4,709",,12.8
6,"43,465","39,345 4,120",,9.5
7,"35,616","30,028 5,588",,15.7
8,"30,815","23,591 7,224",,23.4
"",,August 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"48,175","44,012 4,164",,8.6
2,"48,302","45,925 2,377",,4.9
3,"52,888","51,514 1,375",,2.6
4,"43,343","39,794 3,549",,8.2
5,"36,187","31,266 4,921",,13.6
6,"42,723","38,418 4,305",,10.1
7,"35,161","29,321 5,839",,16.6
8,"30,585","23,036 7,549",,24.7
"",,September 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment Unemployment,,Rate
1,"47,701","43,454 4,247",,8.9
2,"47,768","45,343 2,425",,5.1
3,"52,263","50,861 1,403",,2.7
4,"42,910","39,290 3,620",,8.4
5,"35,890","30,870 5,020",,14.0
6,"42,323","37,932 4,391",,10.4
7,"34,906","28,950 5,956",,17.1
8,"30,445","22,744 7,701",,25.3
"",,October 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"47,934","43,547","4,387",9.2
2,"47,945","45,441","2,505",5.2
3,"52,419","50,970","1,449",2.8
4,"43,114","39,374","3,739",8.7
5,"36,121","30,936","5,185",14.4
6,"42,549","38,013","4,536",10.7
7,"35,164","29,012","6,152",17.5
8,"30,746","22,793","7,954",25.9
"",,November 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"48,070","43,860","4,210",8.8
2,"48,171","45,767","2,404",5.0
3,"52,726","51,336","1,390",2.6
4,"43,245","39,657","3,589",8.3
5,"36,134","31,158","4,976",13.8
6,"42,639","38,286","4,353",10.2
7,"35,124","29,220","5,904",16.8
8,"30,589","22,956","7,633",25.0
"",,December 2009,,
"",,,,Unemployment
Ward,Labor Force,Employment,Unemployment,Rate
1,"48,092","43,799","4,293",8.9
2,"48,154","45,703","2,451",5.1
3,"52,682","51,265","1,418",2.7
4,"43,261","39,601","3,660",8.5
5,"36,189","31,115","5,074",14.0
6,"42,672","38,233","4,439",10.4
7,"35,200","29,180","6,021",17.1
8,"30,708","22,924","7,784",25.3
